Name,Set,Collector Number,Rarity,Color Identity,Type,Mana Cost,CMC,Power,Toughness,Tags
Conclave Naturalists,Mixed,,common,G,Creature — Dryad,,5,4.0,4.0,Green Voltron
Condescend,Mixed,,common,U,Instant,,1,,,Blue Spellslinger
Conduit Goblin,Mixed,,common,RW,Creature — Goblin Warrior,,2,2.0,2.0,Boros Aggro
Conduit Pylons,Mixed,,common,,Land — Desert,,0,,,Unassigned
Consider,Mixed,,common,U,Instant,,1,,,Blue Mill
Contagious Vorrac,Mixed,,common,G,Creature — Phyrexian Boar Beast,,3,3.0,3.0,Green Mill
Contaminated Landscape,Mixed,,common,,Land,,0,,,Unassigned
Counterspell,Mixed,,common,U,Instant,,2,,,Blue Spellslinger
Cruel Witness,Mixed,,common,U,Creature — Bird Horror,,4,3.0,3.0,Blue Mill
Crypt Rats,Mixed,,common,B,Creature — Rat,,3,1.0,1.0,Black Spellslinger
Custodi Squire,Mixed,,common,W,Creature — Spirit Cleric,,5,3.0,3.0,White Enchantments
Dark-Dweller Oracle,Mixed,,common,R,Creature — Goblin Shaman,,2,2.0,2.0,Red Aggro
Dauntless Unity,Mixed,,common,W,Instant,,2,,,Selesnya Midrange
Dauthi Horror,Mixed,,common,B,Creature — Dauthi Horror,,2,2.0,1.0,Black Tempo
Dauthi Slayer,Mixed,,common,B,Creature — Dauthi Soldier,,2,2.0,2.0,Black Spellslinger
Death Denied,Mixed,,common,B,Instant — Arcane,,2,,,Black Aristocrats
Deceptive Landscape,Mixed,,common,,Land,,0,,,Unassigned
Deep Analysis,Mixed,,common,U,Sorcery,,4,,,Dimir Control
Deftblade Elite,Mixed,,common,W,Creature — Human Soldier,,1,1.0,1.0,White Slivers
Deranged Assistant,Mixed,,common,U,Creature — Human Wizard,,2,1.0,1.0,Blue Mill
Desecrator Hag,Mixed,,common,BG,Creature — Hag,,4,2.0,2.0,Golgari Midrange
Desert,Mixed,,common,,Land — Desert,,0,,,Unassigned
Dimir Aqueduct,Mixed,,common,,Land,,0,,,Blue Tempo
Dimir Guildmage,Mixed,,common,BU,Creature — Human Wizard,,2,2.0,2.0,Dimir Control
Dinrova Horror,Mixed,,common,BU,Creature — Horror,,6,4.0,4.0,Dimir Control
Disfigure,Mixed,,common,B,Instant,,1,,,Black Aristocrats
Dismal Backwater,Mixed,,common,,Land,,0,,,Blue Spellslinger
Displace,Mixed,,common,U,Instant,,3,,,Izzet Tempo
Dog Umbra,Mixed,,common,W,Enchantment — Aura,,2,,,White Enchantments
Dog Walker,Mixed,,common,RW,Creature — Human Citizen,,2,3.0,1.0,Boros Aggro
Doom Blade,Mixed,,common,B,Instant,,2,,,Orzhov Midrange
Doomed Traveler,Mixed,,common,W,Creature — Human Soldier,,1,1.0,1.0,White Enchantments
Dread Return,Mixed,,common,B,Sorcery,,4,,,Golgari Midrange
Dreg Mangler,Mixed,,common,BG,Creature — Plant Zombie,,3,3.0,3.0,Golgari Midrange
Eagles of the North,Mixed,,common,W,Creature — Bird Soldier,,6,3.0,3.0,White Tribals
Ecstatic Awakener,Mixed,,common,B,Creature — Demon,,1,4.0,4.0,Black Tempo
Eldrazi Repurposer,Mixed,,common,G,Creature — Eldrazi Drone,,3,3.0,3.0,Golgari Midrange
Eldrazi Skyspawner,Mixed,,common,U,Creature — Eldrazi Drone,,3,2.0,1.0,Blue Mill
Elite Vanguard,Mixed,,common,W,Creature — Human Soldier,,1,2.0,1.0,Boros Aggro
Elvish Mystic,Mixed,,common,G,Creature — Elf Druid,,1,1.0,1.0,Green Mill
Ephemerate,Mixed,,common,W,Instant,,1,,,Boros Aggro
Eroded Canyon,Mixed,,common,,Land — Desert,,0,,,Izzet Tempo
Escape Tunnel,Mixed,,common,,Land,,0,,,Unassigned
Evolution Witness,Mixed,,common,G,Creature — Elf Shaman Mutant,,3,2.0,1.0,Simic Ramp
Exclude,Mixed,,common,U,Instant,,3,,,Blue Tribals
Experiment One,Mixed,,common,G,Creature — Human Ooze,,1,1.0,1.0,Green Tempo
Faceless Butcher,Mixed,,common,B,Creature — Nightmare Horror,,4,2.0,3.0,Black Tribals
Faerie Guidemother,Mixed,,common,W,Sorcery — Adventure,,1,,,White Slivers
Faerie Seer,Mixed,,common,U,Creature — Faerie Wizard,,1,1.0,1.0,Blue Tribals
Faith's Fetters,Mixed,,common,W,Enchantment — Aura,,4,,,White Enchantments
Faithful Watchdog,Mixed,,common,GW,Creature — Dog,,2,0.0,0.0,Selesnya Midrange
Falkenrath Noble,Mixed,,common,B,Creature — Vampire Noble,,4,2.0,2.0,Black Aristocrats
Fanatical Firebrand,Mixed,,common,R,Creature — Goblin Pirate,,1,1.0,1.0,Red Aggro
Farseek,Mixed,,common,G,Sorcery,,2,,,Green Ramp
Feed the Swarm,Mixed,,common,B,Sorcery,,2,,,Golgari Midrange
Feign Death,Mixed,,common,B,Instant,,1,,,Black Tempo
Fertile Ground,Mixed,,common,G,Enchantment — Aura,,2,,,Green Ramp
Filigree Familiar,Mixed,,common,,Artifact Creature — Fox,,3,2.0,2.0,Dimir Control
Fireball,Mixed,,common,R,Sorcery,,1,,,Red Aggro
Fireblade Artist,Mixed,,common,BR,Creature — Human Shaman,,2,2.0,2.0,Rakdos Aggro
Fireblast,Mixed,,common,R,Instant,,6,,,Red Spellslinger
Firebolt,Mixed,,common,R,Sorcery,,1,,,Red Aggro
Firebrand Archer,Mixed,,common,R,Creature — Human Archer,,2,2.0,1.0,Red Spellslinger
Fireslinger,Mixed,,common,R,Creature — Human Wizard,,2,1.0,1.0,Red Burn
First-Sphere Gargantua,Mixed,,common,B,Creature — Phyrexian Horror,,6,5.0,4.0,Black Tribals
Flame Slash,Mixed,,common,R,Sorcery,,1,,,Red Burn
Flayer Husk,Mixed,,common,,Artifact — Equipment,,1,,,White Voltron
Forbidden Friendship,Mixed,,common,R,Sorcery,,2,,,Gruul Aggro
Foreboding Landscape,Mixed,,common,,Land,,0,,,Unassigned
Frenzied Goblin,Mixed,,common,R,Creature — Goblin Berserker,,1,1.0,1.0,Red Aggro
Frost Trickster,Mixed,,common,U,Creature — Bird Wizard,,3,2.0,2.0,Blue Tribals
Galvanic Discharge,Mixed,,common,R,Instant,,1,,,Red Aggro
Generous Ent,Mixed,,common,G,Creature — Treefolk,,6,5.0,7.0,Green Mill
Geyser Drake,Mixed,,common,U,Creature — Drake,,3,2.0,3.0,Blue Mill
Ghostly Flicker,Mixed,,common,U,Instant,,3,,,Izzet Tempo
Giant Growth,Mixed,,common,G,Instant,,1,,,Gruul Aggro
Gideon's Lawkeeper,Mixed,,common,W,Creature — Human Soldier,,1,1.0,1.0,White Enchantments
Gift of Fangs,Mixed,,common,B,Enchantment — Aura,,1,,,Unassigned
Gift of Orzhova,Mixed,,common,BW,Enchantment — Aura,,3,,,Orzhov Midrange
Gingerbrute,Mixed,,common,,Artifact Creature — Food Golem,,1,1.0,1.0,Rakdos Aggro
Gitaxian Probe,Mixed,,common,U,Sorcery,,1,,,Unassigned
Gixian Infiltrator,Mixed,,common,B,Creature — Phyrexian Human,,2,2.0,1.0,Black Aristocrats
Glimmerlight,Mixed,,common,,Artifact — Equipment,,2,,,White Enchantments
Gnarlid Colony,Mixed,,common,G,Creature — Beast,,2,2.0,2.0,Green Tempo
Gnawing Crescendo,Mixed,,common,R,Instant,,3,,,Unassigned
Go for the Throat,Mixed,,common,B,Instant,,2,,,Orzhov Midrange
Goblin Anarchomancer,Mixed,,common,GR,Creature — Goblin Shaman,,2,2.0,2.0,Gruul Aggro
Goblin Bushwhacker,Mixed,,common,R,Creature — Goblin Warrior,,1,1.0,1.0,Red Tribals
Goblin Electromancer,Mixed,,common,RU,Creature — Goblin Wizard,,2,2.0,2.0,Izzet Tempo
Goblin Motivator,Mixed,,common,R,Creature — Goblin Warrior,,1,1.0,1.0,Red Aggro
Goblin Surprise,Mixed,,common,R,Instant,,3,,,Unassigned
Gods Willing,Mixed,,common,W,Instant,,1,,,White Slivers
Goldmeadow Harrier,Mixed,,common,W,Creature — Kithkin Soldier,,1,1.0,1.0,White Slivers
Golgari Rot Farm,Mixed,,common,,Land,,0,,,Golgari Midrange
Grapple with the Past,Mixed,,common,G,Instant,,2,,,Green Mill
Grasping Scoundrel,Mixed,,common,B,Creature — Human Pirate,,1,1.0,1.0,Black Tempo
Gravedigger,Mixed,,common,B,Creature — Zombie,,4,2.0,2.0,Black Tribals
Gray Merchant of Asphodel,Mixed,,common,B,Creature — Zombie,,5,2.0,4.0,Black Tribals
Greater Tanuki,Mixed,,common,G,Enchantment Creature — Dog,,6,6.0,5.0,Green Ramp
Greatsword of Tyr,Mixed,,common,W,Artifact — Equipment,,2,,,White Voltron
Grim Bauble,Mixed,,common,B,Artifact,,1,,,Black Tribals
Grim Initiate,Mixed,,common,R,Creature — Zombie Warrior,,1,1.0,1.0,Red Tribals
Growth Spiral,Mixed,,common,GU,Instant,,2,,,Unassigned
Gruul Turf,Mixed,,common,,Land,,0,,,Red Spellslinger
Guardian Idol,Mixed,,common,,Artifact,,2,,,Rakdos Aggro
Guardian of the Guildpact,Mixed,,common,W,Creature — Spirit,,4,2.0,3.0,White Voltron
Guildsworn Prowler,Mixed,,common,B,Creature — Tiefling Rogue Assassin,,2,2.0,1.0,Black Aristocrats
Gurmag Angler,Mixed,,common,B,Creature — Zombie Fish,,7,5.0,5.0,Black Spellslinger
Guttersnipe,Mixed,,common,R,Creature — Goblin Shaman,,3,2.0,2.0,Red Spellslinger
Hard Evidence,Mixed,,common,U,Sorcery,,1,,,Izzet Tempo
Harried Spearguard,Mixed,,common,R,Creature — Human Soldier,,1,1.0,1.0,Gruul Aggro
Haunted Fengraf,Mixed,,common,,Land,,0,,,Unassigned
Haunted Mire,Mixed,,common,,Land — Swamp Forest,,0,,,Green Voltron
Hazard of the Dunes,Mixed,,common,G,Creature — Wurm,,4,4.0,4.0,Green Voltron
Heliod's Pilgrim,Mixed,,common,W,Creature — Human Cleric,,3,1.0,2.0,White Enchantments
Hickory Woodlot,Mixed,,common,,Land,,0,,,Unassigned
Hidden Grotto,Mixed,,common,,Land,,0,,,Unassigned
Hissing Iguanar,Mixed,,common,R,Creature — Lizard,,3,3.0,1.0,Red Burn
Hobblefiend,Mixed,,common,R,Creature — Devil,,2,2.0,1.0,Red Tribals
Holy Cow,Mixed,,common,W,Creature — Ox Angel,,3,2.0,2.0,White Voltron
Hooting Mandrills,Mixed,,common,G,Creature — Ape,,6,4.0,4.0,Green Ramp
Hordeling Outburst,Mixed,,common,R,Sorcery,,3,,,Unassigned
Horrific Assault,Mixed,,common,G,Sorcery,,1,,,Unassigned
Imperial Oath,Mixed,,common,W,Sorcery,,6,,,White Tribals
Improvised Club,Mixed,,common,R,Instant,,2,,,Red Spellslinger
Impulse,Mixed,,common,U,Instant,,2,,,Blue Mill
Incinerate,Mixed,,common,R,Instant,,2,,,Red Burn
Infestation Sage,Mixed,,common,B,Creature — Elf Warlock,,1,1.0,1.0,Black Aristocrats
Infuse with Vitality,Mixed,,common,BG,Instant,,2,,,Golgari Midrange
Inspiring Overseer,Mixed,,common,W,Creature — Angel Cleric,,3,2.0,1.0,White Voltron
Inspiring Paladin,Mixed,,common,W,Creature — Human Knight,,3,3.0,3.0,White Slivers
Into the Roil,Mixed,,common,U,Instant,,2,,,Blue Tempo
Iron Apprentice,Mixed,,common,,Artifact Creature — Construct,,1,0.0,0.0,Azorius Control
Izzet Boilerworks,Mixed,,common,,Land,,0,,,Blue Mill
Izzet Charm,Mixed,,common,RU,Instant,,2,,,Izzet Tempo
Jackal Pup,Mixed,,common,R,Creature — Jackal,,1,2.0,1.0,Rakdos Aggro
Jade Avenger,Mixed,,common,G,Creature — Frog Samurai,,2,2.0,2.0,Green Voltron
Jade Guardian,Mixed,,common,G,Creature — Merfolk Shaman,,4,2.0,2.0,Green Voltron
Jagged Barrens,Mixed,,common,,Land — Desert,,0,,,Black Aristocrats
Jewel Thief,Mixed,,common,G,Creature — Cat Rogue,,3,3.0,3.0,Green Voltron
Jhessian Thief,Mixed,,common,U,Creature — Human Rogue,,3,1.0,3.0,Blue Spellslinger
Journey to Nowhere,Mixed,,common,W,Enchantment,,2,,,White Tribals
Judge's Familiar,Mixed,,common,UW,Creature — Bird,,1,1.0,1.0,Azorius Control
Juggernaut,Mixed,,common,,Artifact Creature — Juggernaut,,4,5.0,3.0,Dimir Control
Kingpin's Pet,Mixed,,common,BW,Creature — Thrull,,3,2.0,2.0,Orzhov Midrange
Kor Skyfisher,Mixed,,common,W,Creature — Kor Soldier,,2,2.0,3.0,White Tribals
Krosan Tusker,Mixed,,common,G,Creature — Boar Beast,,7,6.0,5.0,Green Ramp
Lead the Stampede,Mixed,,common,G,Sorcery,,3,,,Simic Ramp
Legion Vanguard,Mixed,,common,B,Creature — Vampire Soldier,,2,2.0,2.0,Black Tribals
Leonin Bola,Mixed,,common,,Artifact — Equipment,,1,,,Black Spellslinger
Lightning Bolt,Mixed,,common,R,Instant,,1,,,Red Burn
Lightning Strike,Mixed,,common,R,Instant,,2,,,Red Burn
Llanowar Elves,Mixed,,common,G,Creature — Elf Druid,,1,1.0,1.0,Green Mill
Llanowar Visionary,Mixed,,common,G,Creature — Elf Druid,,3,2.0,2.0,Green Tempo
Loathsome Curator,Mixed,,common,B,Creature — Gorgon Wizard,,5,5.0,4.0,Black Aristocrats
Longstalk Brawl,Mixed,,common,G,Sorcery,,1,,,Green Tempo
Looter il-Kor,Mixed,,common,U,Creature — Kor Rogue,,2,1.0,1.0,Blue Tempo
Lorehold Campus,Mixed,,common,,Land,,0,,,Unassigned
Lose Focus,Mixed,,common,U,Instant,,2,,,Blue Spellslinger
Lyev Skyknight,Mixed,,common,UW,Creature — Human Knight,,3,3.0,1.0,Azorius Control
Lórien Revealed,Mixed,,common,U,Sorcery,,5,,,Blue Mill
Malevolent Rumble,Mixed,,common,G,Sorcery,,2,,,Golgari Midrange
Man-o'-War,Mixed,,common,U,Creature — Jellyfish,,3,2.0,2.0,Blue Tempo
Mana Leak,Mixed,,common,U,Instant,,2,,,Blue Spellslinger
Mana Tithe,Mixed,,common,W,Instant,,1,,,Boros Aggro
Mandibular Kite,Mixed,,common,W,Artifact — Equipment,,1,,,White Enchantments
Mardu Skullhunter,Mixed,,common,B,Creature — Human Warrior,,2,2.0,1.0,Black Tempo
Massive Might,Mixed,,common,G,Instant,,1,,,Gruul Aggro
Mayhem Patrol,Mixed,,common,R,Creature — Devil Warrior,,2,1.0,2.0,Red Aggro
Merfolk Looter,Mixed,,common,U,Creature — Merfolk Rogue,,2,1.0,1.0,Blue Tempo
Militia Bugler,Mixed,,common,W,Creature — Human Soldier,,3,2.0,3.0,White Tribals
Mind Stone,Mixed,,common,,Artifact,,2,,,Rakdos Aggro
Miner's Guidewing,Mixed,,common,W,Creature — Bird,,1,1.0,1.0,Azorius Control
Mire Triton,Mixed,,common,B,Creature — Zombie Merfolk,,2,2.0,1.0,Dimir Control
Mirrorshell Crab,Mixed,,common,U,Artifact Creature — Crab,,7,5.0,7.0,Azorius Control
Miscalculation,Mixed,,common,U,Instant,,2,,,Blue Tempo
Mist Raven,Mixed,,common,U,Creature — Bird,,4,2.0,2.0,Simic Ramp
Mistral Singer,Mixed,,common,U,Creature — Siren,,3,2.0,2.0,Blue Spellslinger
Mocking Sprite,Mixed,,common,U,Creature — Faerie Rogue,,3,2.0,1.0,Blue Spellslinger
Mogg War Marshal,Mixed,,common,R,Creature — Goblin Warrior,,2,1.0,1.0,Red Tribals
Molten Gatekeeper,Mixed,,common,R,Artifact Creature — Golem,,3,2.0,3.0,Red Tribals
Momentary Blink,Mixed,,common,W,Instant,,2,,,Unassigned
Monastery Swiftspear,Mixed,,common,R,Creature — Human Monk,,1,1.0,2.0,Red Spellslinger
Monstrous Emergence,Mixed,,common,G,Sorcery,,2,,,Unassigned
Moon-Circuit Hacker,Mixed,,common,U,Enchantment Creature — Human Ninja,,2,2.0,1.0,Blue Tempo
Mother Bear,Mixed,,common,G,Creature — Bear,,2,2.0,2.0,Green Mill
Mulldrifter,Mixed,,common,U,Creature — Elemental,,5,2.0,2.0,Blue Tribals
Murmuring Mystic,Mixed,,common,U,Creature — Human Wizard,,4,1.0,5.0,Blue Spellslinger
Mutagenic Growth,Mixed,,common,G,Instant,,1,,,Unassigned
Mystic Sanctuary,Mixed,,common,,Land — Island,,0,,,Blue Tribals
Nature's Lore,Mixed,,common,G,Sorcery,,2,,,Unassigned
Nest Invader,Mixed,,common,G,Creature — Eldrazi Drone,,2,2.0,2.0,Green Mill
Nested Shambler,Mixed,,common,B,Creature — Zombie,,1,1.0,1.0,Black Tribals
Nezumi Linkbreaker,Mixed,,common,B,Creature — Rat Warlock,,1,1.0,1.0,Black Aristocrats
Night Market,Mixed,,common,,Land,,0,,,Unassigned
Night's Whisper,Mixed,,common,B,Sorcery,,2,,,Black Tempo
Ninja of the Deep Hours,Mixed,,common,U,Creature — Human Ninja,,4,2.0,2.0,Blue Tempo
Novice Inspector,Mixed,,common,W,Creature — Human Detective,,1,1.0,2.0,Boros Aggro
Nyxborn Hydra,Mixed,,common,G,Enchantment Creature — Hydra,,1,0.0,1.0,Green Voltron
Oblivion Ring,Mixed,,common,W,Enchantment,,3,,,Orzhov Midrange
Okiba-Gang Shinobi,Mixed,,common,B,Creature — Rat Ninja,,5,3.0,2.0,Unassigned
Oliphaunt,Mixed,,common,R,Creature — Elephant,,6,6.0,4.0,Unassigned
Opt,Mixed,,common,U,Instant,,1,,,Blue Mill
Orcish Hellraiser,Mixed,,common,R,Creature — Orc Warrior,,2,3.0,2.0,Red Burn
Orzhov Basilica,Mixed,,common,,Land,,0,,,Orzhov Midrange
Owlbear,Mixed,,common,G,Creature — Bird Bear,,5,4.0,4.0,Simic Ramp
Palace Sentinels,Mixed,,common,W,Creature — Human Soldier,,4,2.0,4.0,White Voltron
Pegasus Guardian,Mixed,,common,W,Instant — Adventure,,6,,,Azorius Control
Peregrine Drake,Mixed,,common,U,Creature — Drake,,5,2.0,3.0,Simic Ramp
Perilous Landscape,Mixed,,common,,Land,,0,,,Unassigned
Perilous Myr,Mixed,,common,,Artifact Creature — Phyrexian Myr,,2,1.0,1.0,Dimir Control
Pestermite,Mixed,,common,U,Creature — Faerie Rogue,,3,2.0,1.0,Blue Tempo
Pestilence,Mixed,,common,B,Enchantment,,4,,,Black Aristocrats
Petrify,Mixed,,common,W,Enchantment — Aura,,2,,,White Enchantments
Phantom Interference,Mixed,,common,U,Instant,,1,,,Blue Tribals
Phantom Nomad,Mixed,,common,W,Creature — Spirit Nomad,,2,0.0,0.0,White Voltron
Phantom Tiger,Mixed,,common,G,Creature — Cat Spirit,,3,1.0,0.0,Simic Ramp
Phyrexian Rager,Mixed,,common,B,Creature — Phyrexian Horror,,3,2.0,2.0,Black Spellslinger
Pillory of the Sleepless,Mixed,,common,BW,Enchantment — Aura,,3,,,Orzhov Midrange
Plagued Rusalka,Mixed,,common,B,Creature — Spirit,,1,1.0,1.0,Black Aristocrats
Planar Disruption,Mixed,,common,W,Enchantment — Aura,,2,,,White Enchantments
Ponder,Mixed,,common,U,Sorcery,,1,,,Blue Mill
Porcelain Legionnaire,Mixed,,common,W,Artifact Creature — Phyrexian Soldier,,3,3.0,1.0,Boros Aggro
Preening Champion,Mixed,,common,U,Creature — Bird Knight,,3,2.0,2.0,Blue Mill
Preordain,Mixed,,common,U,Sorcery,,1,,,Blue Mill
Prismari Campus,Mixed,,common,,Land,,0,,,Red Burn
Prismatic Strands,Mixed,,common,W,Instant,,3,,,Orzhov Midrange
Pristine Talisman,Mixed,,common,,Artifact,,3,,,Selesnya Midrange
Prophetic Prism,Mixed,,common,,Artifact,,2,,,Rakdos Aggro
Pulse of Murasa,Mixed,,common,G,Instant,,3,,,Green Ramp
Putrid Goblin,Mixed,,common,B,Creature — Zombie Goblin,,2,2.0,2.0,Black Tempo
Putrid Leech,Mixed,,common,BG,Creature — Zombie Leech,,2,2.0,2.0,Golgari Midrange
Quandrix Campus,Mixed,,common,,Land,,0,,,Simic Ramp
Quandrix Pledgemage,Mixed,,common,GU,Creature — Merfolk Druid,,3,2.0,2.0,Simic Ramp
Quick Study,Mixed,,common,U,Instant,,3,,,Izzet Tempo
Quicksand,Mixed,,common,,Land,,0,,,Unassigned
Racers' Ring,Mixed,,common,,Land,,0,,,Gruul Aggro
Radiant Grove,Mixed,,common,,Land — Forest Plains,,0,,,White Tribals
Raffine's Informant,Mixed,,common,W,Creature — Human Wizard,,2,2.0,1.0,White Voltron
Raid Bombardment,Mixed,,common,R,Enchantment,,3,,,Red Burn
Raise the Alarm,Mixed,,common,W,Instant,,2,,,Selesnya Midrange
Rakdos Carnarium,Mixed,,common,,Land,,0,,,Black Tempo
Rally at the Hornburg,Mixed,,common,R,Sorcery,,2,,,Gruul Aggro
Rally the Peasants,Mixed,,common,W,Instant,,3,,,Unassigned
Ram Through,Mixed,,common,G,Instant,,2,,,Gruul Aggro
Rancor,Mixed,,common,G,Enchantment — Aura,,1,,,Green Voltron
Ransack the Lab,Mixed,,common,B,Sorcery,,2,,,Golgari Midrange
Reckless Charge,Mixed,,common,R,Sorcery,,1,,,Red Tribals
