Name,Set,Collector Number,Rarity,Color Identity,Type,Mana Cost,CMC,Power,Toughness,Tags
Mystic Sanctuary,Mixed,,common,,Land — Island,,0,,,Blue Flying
Shipwreck Dowser,Mixed,,common,U,Creature — Merfolk Wizard,,5,3.0,3.0,Blue Wizards
Archaeomancer,Mixed,,common,U,Creature — Human Wizard,,4,1.0,2.0,Blue Wizards
Murmuring Mystic,Mixed,,common,U,Creature — Human Wizard,,4,1.0,5.0,Blue Wizards
Tolarian Terror,Mixed,,common,U,Creature — Serpent,,7,5.0,5.0,Blue Wizards
Young Blue Dragon,Mixed,,common,U,Sorcery — Adventure,,5,,,Blue Wizards
Treasure Cruise,Mixed,,common,U,Sorcery,,8,,,Blue Wizards
Jhessian Thief,Mixed,,common,U,Creature — Human Rogue,,3,1.0,3.0,Blue Wizards
Serum Visionary,Mixed,,common,U,Creature — Vedalken Wizard,,3,2.0,2.0,Blue Wizards
Counterspell,Mixed,,common,U,Instant,,2,,,Blue Wizards
Into the Roil,Mixed,,common,U,Instant,,2,,,Blue Wizards
Lose Focus,Mixed,,common,U,Instant,,2,,,Blue Wizards
Remove Soul,Mixed,,common,U,Instant,,2,,,Blue Wizards
Dimir Aqueduct,Mixed,,common,,Land,,0,,,Blue Wizards
Opt,Mixed,,common,U,Instant,,1,,,Blue Card Draw
Preordain,Mixed,,common,U,Sorcery,,1,,,Blue Card Draw
Lórien Revealed,Mixed,,common,U,Sorcery,,5,,,Blue Card Draw
Behold the Multiverse,Mixed,,common,U,Instant,,4,,,Blue Card Draw
Ninja of the Deep Hours,Mixed,,common,U,Creature — Human Ninja,,4,2.0,2.0,Blue Card Draw
Striped Riverwinder,Mixed,,common,U,Creature — Serpent,,7,5.0,5.0,Blue Card Draw
Moon-Circuit Hacker,Mixed,,common,U,Enchantment Creature — Human Ninja,,2,2.0,1.0,Blue Card Draw
Vizier of Tumbling Sands,Mixed,,common,U,Creature — Human Cleric,,3,1.0,3.0,Blue Card Draw
Looter il-Kor,Mixed,,common,U,Creature — Kor Rogue,,2,1.0,1.0,Blue Card Draw
Merfolk Looter,Mixed,,common,U,Creature — Merfolk Rogue,,2,1.0,1.0,Blue Card Draw
Aethersnipe,Mixed,,common,U,Creature — Elemental,,6,4.0,4.0,Blue Card Draw
Mirrorshell Crab,Mixed,,common,U,Artifact Creature — Crab,,7,5.0,7.0,Blue Card Draw
Dismal Backwater,Mixed,,common,,Land,,0,,,Blue Card Draw
Mistral Singer,Mixed,,common,U,Creature — Siren,,3,2.0,2.0,Blue Tempo
Pestermite,Mixed,,common,U,Creature — Faerie Rogue,,3,2.0,1.0,Blue Tempo
Faerie Seer,Mixed,,common,U,Creature — Faerie Wizard,,1,1.0,1.0,Blue Tempo
Zephyr Winder,Mixed,,common,U,Creature — Elemental,,2,2.0,1.0,Blue Tempo
Eldrazi Skyspawner,Mixed,,common,U,Creature — Eldrazi Drone,,3,2.0,1.0,Blue Tempo
Man-o'-War,Mixed,,common,U,Creature — Jellyfish,,3,2.0,2.0,Blue Tempo
Winter Eladrin,Mixed,,common,U,Creature — Faerie Elf Wizard,,3,2.0,2.0,Blue Tempo
Sword Coast Serpent,Mixed,,common,U,Instant — Adventure,,7,,,Blue Tempo
Snap,Mixed,,common,U,Instant,,2,,,Blue Tempo
Capsize,Mixed,,common,U,Instant,,3,,,Blue Tempo
Displace,Mixed,,common,U,Instant,,3,,,Blue Tempo
Ghostly Flicker,Mixed,,common,U,Instant,,3,,,Blue Tempo
Izzet Boilerworks,Mixed,,common,,Land,,0,,,Blue Tempo
Legion Vanguard,Mixed,,common,B,Creature — Vampire Soldier,,2,2.0,2.0,Black Zombies
Gixian Infiltrator,Mixed,,common,B,Creature — Phyrexian Human,,2,2.0,1.0,Black Zombies
Putrid Goblin,Mixed,,common,B,Creature — Zombie Goblin,,2,2.0,2.0,Black Zombies
Voracious Vermin,Mixed,,common,B,Creature — Rat,,3,2.0,1.0,Black Zombies
Retrofitted Transmogrant,Mixed,,common,B,Artifact Creature — Zombie,,1,1.0,1.0,Black Zombies
Accursed Marauder,Mixed,,common,B,Creature — Zombie Warrior,,2,2.0,1.0,Black Zombies
Blood Fountain,Mixed,,common,B,Artifact,,1,,,Black Zombies
Guildsworn Prowler,Mixed,,common,B,Creature — Tiefling Rogue Assassin,,2,2.0,1.0,Black Zombies
Candy Grapple,Mixed,,common,B,Instant,,2,,,Black Zombies
Ransack the Lab,Mixed,,common,B,Sorcery,,2,,,Black Zombies
Pestilence,Mixed,,common,B,Enchantment,,4,,,Black Zombies
Carrion Feeder,Mixed,,common,B,Creature — Zombie,,1,1.0,1.0,Black Zombies
Witch's Cottage,Mixed,,common,,Land — Swamp,,0,,,Black Zombies
First-Sphere Gargantua,Mixed,,common,B,Creature — Phyrexian Horror,,6,5.0,4.0,Black Graveyard
Dread Return,Mixed,,common,B,Sorcery,,4,,,Black Graveyard
Unearth,Mixed,,common,B,Sorcery,,1,,,Black Graveyard
Gravedigger,Mixed,,common,B,Creature — Zombie,,4,2.0,2.0,Black Graveyard
Okiba-Gang Shinobi,Mixed,,common,B,Creature — Rat Ninja,,5,3.0,2.0,Black Graveyard
Chitin Gravestalker,Mixed,,common,B,Creature — Insect Warrior,,6,5.0,4.0,Black Graveyard
Gurmag Angler,Mixed,,common,B,Creature — Zombie Fish,,7,5.0,5.0,Black Graveyard
Tortured Existence,Mixed,,common,B,Enchantment,,1,,,Black Graveyard
Unwilling Ingredient,Mixed,,common,B,Creature — Frog,,1,1.0,1.0,Black Graveyard
Bone Picker,Mixed,,common,B,Creature — Bird,,4,3.0,2.0,Black Graveyard
Scurrilous Sentry,Mixed,,common,B,Creature — Human Knight Rogue,,4,2.0,3.0,Black Graveyard
Thorn of the Black Rose,Mixed,,common,B,Creature — Human Assassin,,4,1.0,3.0,Black Graveyard
Jagged Barrens,Mixed,,common,,Land — Desert,,0,,,Black Graveyard
Carrier Thrall,Mixed,,common,B,Creature — Vampire,,2,2.0,1.0,Black Sacrifice
Aether Poisoner,Mixed,,common,B,Creature — Human Artificer,,2,1.0,1.0,Black Sacrifice
Falkenrath Noble,Mixed,,common,B,Creature — Vampire Noble,,4,2.0,2.0,Black Sacrifice
Basilica Screecher,Mixed,,common,B,Creature — Bat,,2,1.0,2.0,Black Sacrifice
Infestation Sage,Mixed,,common,B,Creature — Elf Warlock,,1,1.0,1.0,Black Sacrifice
Nezumi Linkbreaker,Mixed,,common,B,Creature — Rat Warlock,,1,1.0,1.0,Black Sacrifice
Feign Death,Mixed,,common,B,Instant,,1,,,Black Sacrifice
Nested Shambler,Mixed,,common,B,Creature — Zombie,,1,1.0,1.0,Black Sacrifice
Dauthi Horror,Mixed,,common,B,Creature — Dauthi Horror,,2,2.0,1.0,Black Sacrifice
Dauthi Slayer,Mixed,,common,B,Creature — Dauthi Soldier,,2,2.0,2.0,Black Sacrifice
Cast Down,Mixed,,common,B,Instant,,2,,,Black Sacrifice
Go for the Throat,Mixed,,common,B,Instant,,2,,,Black Sacrifice
Rakdos Carnarium,Mixed,,common,,Land,,0,,,Black Sacrifice
Faceless Butcher,Mixed,,common,B,Creature — Nightmare Horror,,4,2.0,3.0,Black Control
Loathsome Curator,Mixed,,common,B,Creature — Gorgon Wizard,,5,5.0,4.0,Black Control
Doom Blade,Mixed,,common,B,Instant,,2,,,Black Control
Wither and Bloom,Mixed,,common,B,Instant,,2,,,Black Control
Ashes to Ashes,Mixed,,common,B,Sorcery,,3,,,Black Control
Arms of Hadar,Mixed,,common,B,Sorcery,,4,,,Black Control
Mardu Skullhunter,Mixed,,common,B,Creature — Human Warrior,,2,2.0,1.0,Black Control
Gray Merchant of Asphodel,Mixed,,common,B,Creature — Zombie,,5,2.0,4.0,Black Control
Vampire Sovereign,Mixed,,common,B,Creature — Vampire Noble,,5,3.0,4.0,Black Control
Troll of Khazad-dûm,Mixed,,common,B,Creature — Troll,,6,6.0,5.0,Black Control
Undying Malice,Mixed,,common,B,Instant,,1,,,Black Control
Vendetta,Mixed,,common,B,Instant,,1,,,Black Control
Scoured Barrens,Mixed,,common,,Land,,0,,,Black Control
Mogg War Marshal,Mixed,,common,R,Creature — Goblin Warrior,,2,1.0,1.0,Red Goblins
Fanatical Firebrand,Mixed,,common,R,Creature — Goblin Pirate,,1,1.0,1.0,Red Goblins
Goblin Bushwhacker,Mixed,,common,R,Creature — Goblin Warrior,,1,1.0,1.0,Red Goblins
Goblin Surprise,Mixed,,common,R,Instant,,3,,,Red Goblins
Harried Spearguard,Mixed,,common,R,Creature — Human Soldier,,1,1.0,1.0,Red Goblins
Clockwork Percussionist,Mixed,,common,R,Artifact Creature — Monkey Toy,,1,1.0,1.0,Red Goblins
Frenzied Goblin,Mixed,,common,R,Creature — Goblin Berserker,,1,1.0,1.0,Red Goblins
Dark-Dweller Oracle,Mixed,,common,R,Creature — Goblin Shaman,,2,2.0,2.0,Red Goblins
Mayhem Patrol,Mixed,,common,R,Creature — Devil Warrior,,2,1.0,2.0,Red Goblins
Red Herring,Mixed,,common,R,Artifact Creature — Clue Fish,,2,2.0,2.0,Red Goblins
Forbidden Friendship,Mixed,,common,R,Sorcery,,2,,,Red Goblins
Rally at the Hornburg,Mixed,,common,R,Sorcery,,2,,,Red Goblins
Teetering Peaks,Mixed,,common,,Land,,0,,,Red Goblins
Burst Lightning,Mixed,,common,R,Instant,,1,,,Red Burn
Lightning Bolt,Mixed,,common,R,Instant,,1,,,Red Burn
Galvanic Discharge,Mixed,,common,R,Instant,,1,,,Red Burn
Chain Lightning,Mixed,,common,R,Sorcery,,1,,,Red Burn
Lightning Strike,Mixed,,common,R,Instant,,2,,,Red Burn
Firebrand Archer,Mixed,,common,R,Creature — Human Archer,,2,2.0,1.0,Red Burn
Fireslinger,Mixed,,common,R,Creature — Human Wizard,,2,1.0,1.0,Red Burn
Orcish Hellraiser,Mixed,,common,R,Creature — Orc Warrior,,2,3.0,2.0,Red Burn
Guttersnipe,Mixed,,common,R,Creature — Goblin Shaman,,3,2.0,2.0,Red Burn
Scrapwork Mutt,Mixed,,common,R,Artifact Creature — Dog,,2,2.0,1.0,Red Burn
Abrade,Mixed,,common,R,Instant,,2,,,Red Burn
Improvised Club,Mixed,,common,R,Instant,,2,,,Red Burn
Bristling Backwoods,Mixed,,common,,Land — Desert,,0,,,Red Burn
Bogardan Dragonheart,Mixed,,common,R,Creature — Human Shaman,,3,2.0,2.0,Red Dragons
Thriving Skyclaw,Mixed,,common,R,Creature — Cat Dragon,,4,3.0,2.0,Red Dragons
Wrangle,Mixed,,common,R,Sorcery,,2,,,Red Dragons
Yavimaya Steelcrusher,Mixed,,common,R,Creature — Ape Warrior,,2,2.0,2.0,Red Dragons
Oliphaunt,Mixed,,common,R,Creature — Elephant,,6,6.0,4.0,Red Dragons
Raid Bombardment,Mixed,,common,R,Enchantment,,3,,,Red Dragons
Gruul Turf,Mixed,,common,,Land,,0,,,Red Dragons
Rimrock Knight,Mixed,,common,R,Instant — Adventure,,2,,,Red Dragons
Thriving Grubs,Mixed,,common,R,Creature — Gremlin,,2,2.0,1.0,Red Dragons
Underworld Rage-Hound,Mixed,,common,R,Creature — Elemental Dog,,2,3.0,1.0,Red Dragons
Volatile Wanderglyph,Mixed,,common,R,Artifact Creature — Golem,,2,2.0,2.0,Red Dragons
Hissing Iguanar,Mixed,,common,R,Creature — Lizard,,3,3.0,1.0,Red Dragons
Spelleater Wolverine,Mixed,,common,R,Creature — Wolverine,,3,3.0,2.0,Red Dragons
Leonin Bola,Mixed,,common,,Artifact — Equipment,,1,,,Red Artifacts
Barbed Batterfist,Mixed,,common,R,Artifact — Equipment,,2,,,Red Artifacts
Bonesplitter,Mixed,,common,,Artifact — Equipment,,1,,,Red Artifacts
Aether Chaser,Mixed,,common,R,Creature — Human Artificer,,2,2.0,1.0,Red Artifacts
Scholar of Combustion,Mixed,,common,R,Creature — Human Wizard,,4,3.0,2.0,Red Artifacts
Ardent Elementalist,Mixed,,common,R,Creature — Human Shaman,,4,2.0,1.0,Red Artifacts
Beetleback Chief,Mixed,,common,R,Creature — Goblin Warrior,,4,2.0,2.0,Red Artifacts
Tuskeri Firewalker,Mixed,,common,R,Creature — Human Berserker,,3,3.0,2.0,Red Artifacts
Wildfire Elemental,Mixed,,common,R,Creature — Elemental,,4,3.0,3.0,Red Artifacts
Fireblast,Mixed,,common,R,Instant,,6,,,Red Artifacts
Ambitious Assault,Mixed,,common,R,Instant,,3,,,Red Artifacts
Firebolt,Mixed,,common,R,Sorcery,,1,,,Red Artifacts
Prismari Campus,Mixed,,common,,Land,,0,,,Red Artifacts
Longstalk Brawl,Mixed,,common,G,Sorcery,,1,,,Green Elves
Experiment One,Mixed,,common,G,Creature — Human Ooze,,1,1.0,1.0,Green Elves
Nyxborn Hydra,Mixed,,common,G,Enchantment Creature — Hydra,,1,0.0,1.0,Green Elves
Basking Broodscale,Mixed,,common,G,Creature — Eldrazi Lizard,,2,2.0,2.0,Green Elves
Llanowar Visionary,Mixed,,common,G,Creature — Elf Druid,,3,2.0,2.0,Green Elves
Arbor Elf,Mixed,,common,G,Creature — Elf Druid,,1,1.0,1.0,Green Elves
Sprout Swarm,Mixed,,common,G,Instant,,2,,,Green Elves
Elvish Mystic,Mixed,,common,G,Creature — Elf Druid,,1,1.0,1.0,Green Elves
Llanowar Elves,Mixed,,common,G,Creature — Elf Druid,,1,1.0,1.0,Green Elves
Nest Invader,Mixed,,common,G,Creature — Eldrazi Drone,,2,2.0,2.0,Green Elves
Werebear,Mixed,,common,G,Creature — Human Bear Druid,,2,1.0,1.0,Green Elves
Utopia Sprawl,Mixed,,common,G,Enchantment — Aura,,1,,,Green Elves
Haunted Mire,Mixed,,common,,Land — Swamp Forest,,0,,,Green Elves
Colossal Dreadmask,Mixed,,common,G,Artifact — Equipment,,6,,,Green Ramp
Tranquil Landscape,Mixed,,common,,Land,,0,,,Green Ramp
Sakura-Tribe Elder,Mixed,,common,G,Creature — Snake Shaman,,2,1.0,1.0,Green Ramp
Yavimaya Elder,Mixed,,common,G,Creature — Human Druid,,3,2.0,1.0,Green Ramp
Generous Ent,Mixed,,common,G,Creature — Treefolk,,6,5.0,7.0,Green Ramp
Greater Tanuki,Mixed,,common,G,Enchantment Creature — Dog,,6,6.0,5.0,Green Ramp
Krosan Tusker,Mixed,,common,G,Creature — Boar Beast,,7,6.0,5.0,Green Ramp
Annoyed Altisaur,Mixed,,common,G,Creature — Dinosaur,,7,6.0,5.0,Green Ramp
Jade Avenger,Mixed,,common,G,Creature — Frog Samurai,,2,2.0,2.0,Green Ramp
Mother Bear,Mixed,,common,G,Creature — Bear,,2,2.0,2.0,Green Ramp
Wall of Roots,Mixed,,common,G,Creature — Plant Wall,,2,0.0,5.0,Green Ramp
Nature's Lore,Mixed,,common,G,Sorcery,,2,,,Green Ramp
Wild Growth,Mixed,,common,G,Enchantment — Aura,,1,,,Green Ramp
Bannerhide Krushok,Mixed,,common,G,Creature — Beast,,4,4.0,4.0,Green Stompy
Gnarlid Colony,Mixed,,common,G,Creature — Beast,,2,2.0,2.0,Green Stompy
Hazard of the Dunes,Mixed,,common,G,Creature — Wurm,,4,4.0,4.0,Green Stompy
Bramble Wurm,Mixed,,common,G,Creature — Wurm,,7,7.0,6.0,Green Stompy
Ram Through,Mixed,,common,G,Instant,,2,,,Green Stompy
Tuskguard Captain,Mixed,,common,G,Creature — Human Warrior,,3,2.0,3.0,Green Stompy
Blastoderm,Mixed,,common,G,Creature — Beast,,4,5.0,5.0,Green Stompy
Bloom Hulk,Mixed,,common,G,Creature — Plant Elemental,,4,4.0,4.0,Green Stompy
Silverback Shaman,Mixed,,common,G,Creature — Ape Shaman,,5,5.0,4.0,Green Stompy
Hooting Mandrills,Mixed,,common,G,Creature — Ape,,6,4.0,4.0,Green Stompy
Giant Growth,Mixed,,common,G,Instant,,1,,,Green Stompy
Massive Might,Mixed,,common,G,Instant,,1,,,Green Stompy
Witherbloom Campus,Mixed,,common,,Land,,0,,,Green Stompy
Contagious Vorrac,Mixed,,common,G,Creature — Phyrexian Boar Beast,,3,3.0,3.0,Green Beasts
Renegade Freighter,Mixed,,common,,Artifact — Vehicle,,3,4.0,3.0,Green Beasts
Owlbear,Mixed,,common,G,Creature — Bird Bear,,5,4.0,4.0,Green Beasts
Bushwhack,Mixed,,common,G,Sorcery,,1,,,Green Beasts
Sarulf's Packmate,Mixed,,common,G,Creature — Wolf,,4,3.0,3.0,Green Beasts
Rancor,Mixed,,common,G,Enchantment — Aura,,1,,,Green Beasts
Phantom Tiger,Mixed,,common,G,Creature — Cat Spirit,,3,1.0,0.0,Green Beasts
Jade Guardian,Mixed,,common,G,Creature — Merfolk Shaman,,4,2.0,2.0,Green Beasts
Conclave Naturalists,Mixed,,common,G,Creature — Dryad,,5,4.0,4.0,Green Beasts
Vines of Vastwood,Mixed,,common,G,Instant,,1,,,Green Beasts
Horrific Assault,Mixed,,common,G,Sorcery,,1,,,Green Beasts
Monstrous Emergence,Mixed,,common,G,Sorcery,,2,,,Green Beasts
Simic Growth Chamber,Mixed,,common,,Land,,0,,,Green Beasts
Condescend,Mixed,,common,U,Instant,,1,,,Azorius Control
Rhox Veteran,Mixed,,common,W,Creature — Rhino Soldier,,4,2.0,4.0,Azorius Control
Eagles of the North,Mixed,,common,W,Creature — Bird Soldier,,6,3.0,3.0,Azorius Control
Imperial Oath,Mixed,,common,W,Sorcery,,6,,,Azorius Control
Skybridge Towers,Mixed,,common,,Land,,0,,,Azorius Control
Lyev Skyknight,Mixed,,common,UW,Creature — Human Knight,,3,3.0,1.0,Azorius Control
Judge's Familiar,Mixed,,common,UW,Creature — Bird,,1,1.0,1.0,Azorius Control
Candy Trail,Mixed,,common,,Artifact — Food Clue,,1,,,Azorius Control
Silver Drake,Mixed,,common,UW,Creature — Drake,,3,3.0,3.0,Azorius Control
Filigree Familiar,Mixed,,common,,Artifact Creature — Fox,,3,2.0,2.0,Azorius Control
Guardian Idol,Mixed,,common,,Artifact,,2,,,Azorius Control
Mind Stone,Mixed,,common,,Artifact,,2,,,Azorius Control
Alabaster Host Intercessor,Mixed,,common,W,Creature — Phyrexian Samurai,,6,3.0,4.0,Azorius Control
Deranged Assistant,Mixed,,common,U,Creature — Human Wizard,,2,1.0,1.0,Dimir Mill
Mire Triton,Mixed,,common,B,Creature — Zombie Merfolk,,2,2.0,1.0,Dimir Mill
Consider,Mixed,,common,U,Instant,,1,,,Dimir Mill
Deep Analysis,Mixed,,common,U,Sorcery,,4,,,Dimir Mill
Waterfront District,Mixed,,common,,Land,,0,,,Dimir Mill
Shardless Outlander,Mixed,,common,,Artifact Creature — Construct Scout,,7,6.0,5.0,Dimir Mill
Soul Manipulation,Mixed,,common,BU,Instant,,3,,,Dimir Mill
Dinrova Horror,Mixed,,common,BU,Creature — Horror,,6,4.0,4.0,Dimir Mill
Dimir Guildmage,Mixed,,common,BU,Creature — Human Wizard,,2,2.0,2.0,Dimir Mill
Brainstorm,Mixed,,common,U,Instant,,1,,,Dimir Mill
Ponder,Mixed,,common,U,Sorcery,,1,,,Dimir Mill
Grim Bauble,Mixed,,common,B,Artifact,,1,,,Dimir Mill
Impulse,Mixed,,common,U,Instant,,2,,,Dimir Mill
Scorched Rusalka,Mixed,,common,R,Creature — Spirit,,1,1.0,1.0,Rakdos Aggro
Jackal Pup,Mixed,,common,R,Creature — Jackal,,1,2.0,1.0,Rakdos Aggro
Monastery Swiftspear,Mixed,,common,R,Creature — Human Monk,,1,1.0,2.0,Rakdos Aggro
Fireblade Artist,Mixed,,common,BR,Creature — Human Shaman,,2,2.0,2.0,Rakdos Aggro
Tramway Station,Mixed,,common,,Land,,0,,,Rakdos Aggro
Wayfarer's Bauble,Mixed,,common,,Artifact,,1,,,Rakdos Aggro
Body Dropper,Mixed,,common,BR,Creature — Devil Warrior,,2,2.0,2.0,Rakdos Aggro
Iron Apprentice,Mixed,,common,,Artifact Creature — Construct,,1,0.0,0.0,Rakdos Aggro
Perilous Myr,Mixed,,common,,Artifact Creature — Phyrexian Myr,,2,1.0,1.0,Rakdos Aggro
Blightning,Mixed,,common,BR,Sorcery,,3,,,Rakdos Aggro
Plagued Rusalka,Mixed,,common,B,Creature — Spirit,,1,1.0,1.0,Rakdos Aggro
Village Rites,Mixed,,common,B,Instant,,1,,,Rakdos Aggro
Fireball,Mixed,,common,R,Sorcery,,1,,,Rakdos Aggro
Hobblefiend,Mixed,,common,R,Creature — Devil,,2,2.0,1.0,Gruul Midrange
Molten Gatekeeper,Mixed,,common,R,Artifact Creature — Golem,,3,2.0,3.0,Gruul Midrange
Witty Roastmaster,Mixed,,common,R,Creature — Devil Citizen,,3,3.0,2.0,Gruul Midrange
Burning-Tree Emissary,Mixed,,common,GR,Creature — Human Shaman,,2,2.0,2.0,Gruul Midrange
Juggernaut,Mixed,,common,,Artifact Creature — Juggernaut,,4,5.0,3.0,Gruul Midrange
Ulamog's Crusher,Mixed,,common,,Creature — Eldrazi,,8,8.0,8.0,Gruul Midrange
Racers' Ring,Mixed,,common,,Land,,0,,,Gruul Midrange
Goblin Anarchomancer,Mixed,,common,GR,Creature — Goblin Shaman,,2,2.0,2.0,Gruul Midrange
Branching Bolt,Mixed,,common,GR,Instant,,3,,,Gruul Midrange
Writhing Chrysalis,Mixed,,common,GR,Creature — Eldrazi Drone,,4,2.0,3.0,Gruul Midrange
Serrated Arrows,Mixed,,common,,Artifact,,4,,,Gruul Midrange
Bonder's Ornament,Mixed,,common,,Artifact,,3,,,Gruul Midrange
Pristine Talisman,Mixed,,common,,Artifact,,3,,,Gruul Midrange
Thraben Charm,Mixed,,common,W,Instant,,2,,,Selesnya Value
Voracious Varmint,Mixed,,common,G,Creature — Varmint,,2,2.0,2.0,Selesnya Value
Jewel Thief,Mixed,,common,G,Creature — Cat Rogue,,3,3.0,3.0,Selesnya Value
Captured by Lagacs,Mixed,,common,GW,Enchantment — Aura,,3,,,Selesnya Value
Faithful Watchdog,Mixed,,common,GW,Creature — Dog,,2,0.0,0.0,Selesnya Value
