name,CMC,Type,Color,Color Category,Oracle Text,tags,MTGO ID,Power,Toughness
Inspiring Paladin,3,Creature — Human Knight,W,White,"During your turn, this creature has first strike. (It deals combat damage before creatures without first strike.)\nDuring your turn, creatures you control with +1/+1 counters on them have first strike.",,,3,3
Militia Bugler,3,Creature — Human Soldier,W,White,"Vigilance (Attacking doesn't cause this creature to tap.)\nWhen this creature enters, look at the top four cards of your library. You may reveal a creature card with power 2 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",,,2,3
Sandsteppe Outcast,3,Creature — Human Warrior,W,White,"When this creature enters, choose one —\n• Put a +1/+1 counter on this creature.\n• Create a 1/1 white Spirit creature token with flying.",,,2,1
Aerie Auxiliary,4,Creature — Bird Soldier,W,White,"Flying\nWhen this creature enters, support 2. (Put a +1/+1 counter on each of up to two other target creatures.)",,,3,3
Blessed Hippogriff,4,Instant — Adventure,W,White,Target creature gains indestructible until end of turn. (Then exile this card. You may cast the creature later from exile.),,,,
Coalition Honor Guard,4,Creature — Human Flagbearer,W,White,"While an opponent is choosing targets as part of casting a spell they control or activating an ability they control, that player must choose at least one Flagbearer on the battlefield if able.",,,2,4
Combat Professor,4,Creature — Bird Cleric,W,White,"Flying\nAt the beginning of combat on your turn, target creature you control gets +1/+0 and gains vigilance until end of turn.",,,2,3
Guardian of the Guildpact,4,Creature — Spirit,W,White,Protection from monocolored,,,2,3
Palace Sentinels,4,Creature — Human Soldier,W,White,"When this creature enters, you become the monarch.",,,2,4
Rhox Veteran,4,Creature — Rhino Soldier,W,White,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)\nWhenever this creature attacks, tap target creature an opponent controls.",,,2,4
Search Party Captain,4,Creature — Human Soldier,W,White,"This spell costs {1} less to cast for each creature you attacked with this turn.\nWhen this creature enters, draw a card.",,,2,2
Custodi Squire,5,Creature — Spirit Cleric,W,White,"Flying\nWill of the council — When this creature enters, starting with you, each player votes for an artifact, creature, or enchantment card in your graveyard. Return each card with the most votes or tied for most votes to your hand.",,,3,3
Alabaster Host Intercessor,6,Creature — Phyrexian Samurai,W,White,"When this creature enters, exile target creature an opponent controls until this creature leaves the battlefield.\nPlainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)",,,3,4
Eagles of the North,6,Creature — Bird Soldier,W,White,"Flying\nWhen this creature enters, creatures you control get +1/+0 and gain first strike until end of turn.\nPlainscycling {1} ({1}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)",,,3,3
Pegasus Guardian,6,Instant — Adventure,W,White,"Exile target creature you control, then return that card to the battlefield under its owner's control. (Then exile this card. You may cast the creature later from exile.)",,,,
Ephemerate,1,Instant,W,White,"Exile target creature you control, then return it to the battlefield under its owner's control.\nRebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)",,,,
Gods Willing,1,Instant,W,White,"Target creature you control gains protection from the color of your choice until end of turn. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything of that color.)\nScry 1.",,,,
Mana Tithe,1,Instant,W,White,Counter target spell unless its controller pays {1}.,,,,
Dauntless Unity,2,Instant,W,White,"Kicker {1}{W} (You may pay an additional {1}{W} as you cast this spell.)\nCreatures you control get +1/+1 until end of turn. If this spell was kicked, those creatures get +2/+1 until end of turn instead.",,,,
Raise the Alarm,2,Instant,W,White,Create two 1/1 white Soldier creature tokens.,,,,
Thraben Charm,2,Instant,W,White,Choose one —\n• Thraben Charm deals damage equal to twice the number of creatures you control to target creature.\n• Destroy target enchantment.\n• Exile any number of target players' graveyards.,,,,
Unbounded Potential,2,Instant,W,White,"Choose one —\n• Put a +1/+1 counter on each of up to two target creatures.\n• Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)\nEntwine {3}{W} (Choose both if you pay the entwine cost.)",,,,
You Hear Something on Watch,2,Instant,W,White,Choose one —\n• Rouse the Party — Creatures you control get +1/+1 until end of turn.\n• Set Off Traps — This spell deals 5 damage to target attacking creature.,,,,
Borrowed Grace,3,Instant,W,White,Escalate {1}{W} (Pay this cost for each mode chosen beyond the first.)\nChoose one or both —\n• Creatures you control get +2/+0 until end of turn.\n• Creatures you control get +0/+2 until end of turn.,,,,
Prismatic Strands,3,Instant,W,White,Prevent all damage that sources of the color of your choice would deal this turn.\nFlashback—Tap an untapped white creature you control. (You may cast this card from your graveyard for its flashback cost. Then exile it.),,,,
Sunlance,1,Sorcery,W,White,Sunlance deals 3 damage to target nonwhite creature.,,,,
Battle Screech,4,Sorcery,W,White,Create two 1/1 white Bird creature tokens with flying.\nFlashback—Tap three untapped white creatures you control. (You may cast this card from your graveyard for its flashback cost. Then exile it.),,,,
Settle Beyond Reality,5,Sorcery,W,White,"Choose one or both —\n• Exile target creature you don't control.\n• Exile target creature you control, then return it to the battlefield under its owner's control.",,,,
Imperial Oath,6,Sorcery,W,White,Create three 2/2 white Samurai creature tokens with vigilance. Scry 3.,,,,
Triplicate Spirits,6,Sorcery,W,White,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nCreate three 1/1 white Spirit creature tokens with flying.,,,,
Mandibular Kite,1,Artifact — Equipment,W,White,"Living weapon (When this Equipment enters, create a 0/0 black Phyrexian Germ creature token, then attach this to it.)\nEquipped creature gets +1/+1 and has flying.\nEquip {3}{W}",,,,
Ancestral Blade,2,Artifact — Equipment,W,White,"When this Equipment enters, create a 1/1 white Soldier creature token, then attach this Equipment to it.\nEquipped creature gets +1/+1.\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,,,
Greatsword of Tyr,2,Artifact — Equipment,W,White,"Whenever equipped creature attacks, put a +1/+1 counter on it and tap up to one target creature defending player controls.\nEquip {W} ({W}: Attach to target creature you control. Equip only as a sorcery.)",,,,
Cartouche of Solidarity,1,Enchantment — Aura Cartouche,W,White,"Enchant creature you control\nWhen this Aura enters, create a 1/1 white Warrior creature token with vigilance.\nEnchanted creature gets +1/+1 and has first strike. (It deals combat damage before creatures without first strike.)",,,,
Dog Umbra,2,Enchantment — Aura,W,White,"Flash\nEnchant creature\nAs long as another player controls enchanted creature, it can't attack or block. Otherwise, this Aura has umbra armor. (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)",,,,
Journey to Nowhere,2,Enchantment,W,White,"When this enchantment enters, exile target creature.\nWhen this enchantment leaves the battlefield, return the exiled card to the battlefield under its owner's control.",,,,
Petrify,2,Enchantment — Aura,W,White,"Enchant artifact or creature\nEnchanted permanent can't attack or block, and its activated abilities can't be activated.",,,,
Planar Disruption,2,Enchantment — Aura,W,White,"Enchant artifact, creature, or planeswalker\nEnchanted permanent can't attack or block, and its activated abilities can't be activated.",,,,
Oblivion Ring,3,Enchantment,W,White,"When this enchantment enters, exile another target nonland permanent.\nWhen this enchantment leaves the battlefield, return the exiled card to the battlefield under its owner's control.",,,,
Trapped in the Screen,3,Enchantment,W,White,"Ward {2} (Whenever this enchantment becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)\nWhen this enchantment enters, exile target artifact, creature, or enchantment an opponent controls until this enchantment leaves the battlefield.",,,,
Faith's Fetters,4,Enchantment — Aura,W,White,"Enchant permanent\nWhen this Aura enters, you gain 4 life.\nEnchanted permanent can't attack or block, and its activated abilities can't be activated unless they're mana abilities.",,,,
Faerie Seer,1,Creature — Faerie Wizard,U,Blue,"Flying\nWhen this creature enters, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",,,1,1
Deranged Assistant,2,Creature — Human Wizard,U,Blue,"{T}, Mill a card: Add {C}. (To mill a card, put the top card of your library into your graveyard.)",,,1,1
Looter il-Kor,2,Creature — Kor Rogue,U,Blue,"Shadow (This creature can block or be blocked by only creatures with shadow.)\nWhenever this creature deals damage to an opponent, draw a card, then discard a card.",,,1,1
Merfolk Looter,2,Creature — Merfolk Rogue,U,Blue,"{T}: Draw a card, then discard a card.",,,1,1
Moon-Circuit Hacker,2,Enchantment Creature — Human Ninja,U,Blue,"Ninjutsu {U} ({U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)\nWhenever this creature deals combat damage to a player, you may draw a card. If you do, discard a card unless this creature entered this turn.",,,2,1
Zephyr Winder,2,Creature — Elemental,U,Blue,"Flying\nWhenever this creature deals combat damage to a player, untap up to one target creature.",,,2,1
Cloudkin Seer,3,Creature — Elemental Wizard,U,Blue,"Flying\nWhen this creature enters, draw a card.",,,2,1
Eldrazi Skyspawner,3,Creature — Eldrazi Drone,U,Blue,"Devoid (This card has no color.)\nFlying\nWhen this creature enters, create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this token: Add {C}.""",,,2,1
Frost Trickster,3,Creature — Bird Wizard,U,Blue,"Flying\nWhen this creature enters, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.",,,2,2
Geyser Drake,3,Creature — Drake,U,Blue,"Flying\nDuring turns other than yours, spells you cast cost {1} less to cast.",,,2,3
Jhessian Thief,3,Creature — Human Rogue,U,Blue,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nWhenever this creature deals combat damage to a player, draw a card.",,,1,3
Man-o'-War,3,Creature — Jellyfish,U,Blue,"When this creature enters, return target creature to its owner's hand.",,,2,2
Mistral Singer,3,Creature — Siren,U,Blue,"Flying\nProwess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",,,2,2
Mocking Sprite,3,Creature — Faerie Rogue,U,Blue,Flying\nInstant and sorcery spells you cast cost {1} less to cast.,,,2,1
Pestermite,3,Creature — Faerie Rogue,U,Blue,"Flash\nFlying\nWhen this creature enters, you may tap or untap target permanent.",,,2,1
Preening Champion,3,Creature — Bird Knight,U,Blue,"Flying\nWhen this creature enters, create a 1/1 blue and red Elemental creature token.",,,2,2
Serum Visionary,3,Creature — Vedalken Wizard,U,Blue,"When this creature enters, draw a card, then scry 2.",,,2,2
Vizier of Tumbling Sands,3,Creature — Human Cleric,U,Blue,"{T}: Untap another target permanent.\nCycling {1}{U} ({1}{U}, Discard this card: Draw a card.)\nWhen you cycle this card, untap target permanent.",,,1,3
Warden of Evos Isle,3,Creature — Bird Wizard,U,Blue,Flying\nCreature spells with flying you cast cost {1} less to cast.,,,2,2
Winter Eladrin,3,Creature — Faerie Elf Wizard,U,Blue,"Gust of Wind — When this creature enters, return up to one other target creature to its owner's hand.",,,2,2
Archaeomancer,4,Creature — Human Wizard,U,Blue,"When this creature enters, return target instant or sorcery card from your graveyard to your hand.",,,1,2
Cruel Witness,4,Creature — Bird Horror,U,Blue,"Flying\nWhenever you cast a noncreature spell, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,,3,3
Mist Raven,4,Creature — Bird,U,Blue,"Flying\nWhen this creature enters, return target creature to its owner's hand.",,,2,2
Murmuring Mystic,4,Creature — Human Wizard,U,Blue,"Whenever you cast an instant or sorcery spell, create a 1/1 blue Bird Illusion creature token with flying.",,,1,5
Ninja of the Deep Hours,4,Creature — Human Ninja,U,Blue,"Ninjutsu {1}{U} ({1}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)\nWhenever this creature deals combat damage to a player, you may draw a card.",,,2,2
Mulldrifter,5,Creature — Elemental,U,Blue,"Flying\nWhen this creature enters, draw two cards.\nEvoke {2}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters.)",,,2,2
Peregrine Drake,5,Creature — Drake,U,Blue,"Flying\nWhen this creature enters, untap up to five lands.",,,2,3
Shipwreck Dowser,5,Creature — Merfolk Wizard,U,Blue,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nWhen this creature enters, return target instant or sorcery card from your graveyard to your hand.",,,3,3
Young Blue Dragon,5,Sorcery — Adventure,U,Blue,"Scry 1, then draw a card. (Then exile this card. You may cast the creature later from exile.)",,,,
Aethersnipe,6,Creature — Elemental,U,Blue,"When this creature enters, return target nonland permanent to its owner's hand.\nEvoke {1}{U}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters.)",,,4,4
Mirrorshell Crab,7,Artifact Creature — Crab,U,Blue,"Ward {3} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {3}.)\nChannel — {2}{U}, Discard this card: Counter target spell or ability unless its controller pays {3}.",,,5,7
Striped Riverwinder,7,Creature — Serpent,U,Blue,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)\nCycling {U} ({U}, Discard this card: Draw a card.)",,,5,5
Sword Coast Serpent,7,Instant — Adventure,U,Blue,Return target creature to its owner's hand. (Then exile this card. You may cast the creature later from exile.),,,,
Tolarian Terror,7,Creature — Serpent,U,Blue,"This spell costs {1} less to cast for each instant and sorcery card in your graveyard.\nWard {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)",,,5,5
Brainstorm,1,Instant,U,Blue,"Draw three cards, then put two cards from your hand on top of your library in any order.",,,,
Condescend,1,Instant,U,Blue,"Counter target spell unless its controller pays {X}. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",,,,
Consider,1,Instant,U,Blue,Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)\nDraw a card.,,,,
Opt,1,Instant,U,Blue,Scry 1. (Look at the top card of your library. You may put that card on the bottom.)\nDraw a card.,,,,
Phantom Interference,1,Instant,U,Blue,Spree (Choose one or more additional costs.)\n+ {3} — Create a 2/2 white Spirit creature token with flying.\n+ {1} — Counter target spell unless its controller pays {2}.,,,,
Repeal,1,Instant,U,Blue,Return target nonland permanent with mana value X to its owner's hand.\nDraw a card.,,,,
Counterspell,2,Instant,U,Blue,Counter target spell.,,,,
Impulse,2,Instant,U,Blue,Look at the top four cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.,,,,
Into the Roil,2,Instant,U,Blue,"Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.)\nReturn target nonland permanent to its owner's hand. If this spell was kicked, draw a card.",,,,
Lose Focus,2,Instant,U,Blue,"Replicate {U} (When you cast this spell, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)\nCounter target spell unless its controller pays {2}.",,,,
Mana Leak,2,Instant,U,Blue,Counter target spell unless its controller pays {3}.,,,,
Miscalculation,2,Instant,U,Blue,"Counter target spell unless its controller pays {2}.\nCycling {2} ({2}, Discard this card: Draw a card.)",,,,
Remove Soul,2,Instant,U,Blue,Counter target creature spell.,,,,
Snap,2,Instant,U,Blue,Return target creature to its owner's hand. Untap up to two lands.,,,,
Capsize,3,Instant,U,Blue,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)\nReturn target permanent to its owner's hand.",,,,
Displace,3,Instant,U,Blue,"Exile up to two target creatures you control, then return those cards to the battlefield under their owner's control.",,,,
Exclude,3,Instant,U,Blue,Counter target creature spell.\nDraw a card.,,,,
Ghostly Flicker,3,Instant,U,Blue,"Exile two target artifacts, creatures, and/or lands you control, then return those cards to the battlefield under your control.",,,,
Quick Study,3,Instant,U,Blue,Draw two cards.,,,,
Behold the Multiverse,4,Instant,U,Blue,"Scry 2, then draw two cards.\nForetell {1}{U} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",,,,
Hard Evidence,1,Sorcery,U,Blue,"Create a 0/3 blue Crab creature token.\nInvestigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",,,,
Ponder,1,Sorcery,U,Blue,"Look at the top three cards of your library, then put them back in any order. You may shuffle.\nDraw a card.",,,,
Preordain,1,Sorcery,U,Blue,"Scry 2, then draw a card. (To scry 2, look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",,,,
Serum Visions,1,Sorcery,U,Blue,Draw a card. Scry 2.,,,,
Compulsive Research,3,Sorcery,U,Blue,Target player draws three cards. Then that player discards two cards unless they discard a land card.,,,,
Deep Analysis,4,Sorcery,U,Blue,"Target player draws two cards.\nFlashback—{1}{U}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,
Lórien Revealed,5,Sorcery,U,Blue,"Draw three cards.\nIslandcycling {1} ({1}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)",,,,
Treasure Cruise,8,Sorcery,U,Blue,Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)\nDraw three cards.,,,,
Bubble Snare,1,Enchantment — Aura,U,Blue,"Kicker {2}{U} (You may pay an additional {2}{U} as you cast this spell.)\nEnchant creature\nWhen this Aura enters, if it was kicked, tap enchanted creature.\nEnchanted creature doesn't untap during its controller's untap step.",,,,
Unable to Scream,1,Enchantment — Aura,U,Blue,"Enchant creature\nEnchanted creature loses all abilities and is a Toy artifact creature with base power and toughness 0/2 in addition to its other types.\nAs long as enchanted creature is face down, it can't be turned face up.",,,,
Weakstone's Subjugation,1,Enchantment — Aura,U,Blue,"Enchant artifact or creature\nWhen this Aura enters, you may pay {3}. If you do, tap enchanted permanent.\nEnchanted permanent doesn't untap during its controller's untap step.",,,,
Witness Protection,1,Enchantment — Aura,U,Blue,"Enchant creature\nEnchanted creature loses all abilities and is a green and white Citizen creature with base power and toughness 1/1 named Legitimate Businessperson. (It loses all other colors, card types, creature types, and names.)",,,,
Mystic Sanctuary,0,Land — Island,,Lands,"({T}: Add {U}.)\nThis land enters tapped unless you control three or more other Islands.\nWhen this land enters untapped, you may put target instant or sorcery card from your graveyard on top of your library.",,,,
Carnophage,1,Creature — Zombie,B,Black,"At the beginning of your upkeep, tap this creature unless you pay 1 life.",,,2,2
Carrion Feeder,1,Creature — Zombie,B,Black,This creature can't block.\nSacrifice a creature: Put a +1/+1 counter on this creature.,,,1,1
Ecstatic Awakener,1,Creature — Demon,B,Black,,,,4,4
Grasping Scoundrel,1,Creature — Human Pirate,B,Black,This creature gets +1/+0 as long as it's attacking.,,,1,1
Infestation Sage,1,Creature — Elf Warlock,B,Black,"When this creature dies, create a 1/1 black and green Insect creature token with flying.",,,1,1
Nested Shambler,1,Creature — Zombie,B,Black,"When this creature dies, create X tapped 1/1 green Squirrel creature tokens, where X is this creature's power.",,,1,1
Nezumi Linkbreaker,1,Creature — Rat Warlock,B,Black,"When this creature dies, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""",,,1,1
Plagued Rusalka,1,Creature — Spirit,B,Black,"{B}, Sacrifice a creature: Target creature gets -1/-1 until end of turn.",,,1,1
Retrofitted Transmogrant,1,Artifact Creature — Zombie,B,Black,{3}{B}: Return this card from your graveyard to the battlefield tapped with two +1/+1 counters on it.,,,1,1
Unwilling Ingredient,1,Creature — Frog,B,Black,"Menace (This creature can't be blocked except by two or more creatures.)\n{2}{B}, Exile this card from your graveyard: You draw a card and you lose 1 life.",,,1,1
Vampire Lacerator,1,Creature — Vampire Warrior,B,Black,"At the beginning of your upkeep, you lose 1 life unless an opponent has 10 or less life.",,,2,2
Accursed Marauder,2,Creature — Zombie Warrior,B,Black,"When this creature enters, each player sacrifices a nontoken creature of their choice.",,,2,1
Aether Poisoner,2,Creature — Human Artificer,B,Black,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)\nWhen this creature enters, you get {E}{E} (two energy counters).\nWhenever this creature attacks, you may pay {E}{E}. If you do, create a 1/1 colorless Servo artifact creature token.",,,1,1
Basilica Screecher,2,Creature — Bat,B,Black,"Flying\nExtort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)",,,1,2
Carrier Thrall,2,Creature — Vampire,B,Black,"When this creature dies, create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this token: Add {C}.""",,,2,1
Dauthi Horror,2,Creature — Dauthi Horror,B,Black,Shadow (This creature can block or be blocked by only creatures with shadow.)\nThis creature can't be blocked by white creatures.,,,2,1
Dauthi Slayer,2,Creature — Dauthi Soldier,B,Black,Shadow (This creature can block or be blocked by only creatures with shadow.)\nThis creature attacks each combat if able.,,,2,2
Gixian Infiltrator,2,Creature — Phyrexian Human,B,Black,"Whenever you sacrifice another permanent, put a +1/+1 counter on this creature.",,,2,1
Guildsworn Prowler,2,Creature — Tiefling Rogue Assassin,B,Black,"Deathtouch\nWhen this creature dies, if it wasn't blocking, draw a card.",,,2,1
Legion Vanguard,2,Creature — Vampire Soldier,B,Black,"{1}, Sacrifice another creature: This creature explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",,,2,2
Mardu Skullhunter,2,Creature — Human Warrior,B,Black,"This creature enters tapped.\nRaid — When this creature enters, if you attacked this turn, target opponent discards a card.",,,2,1
Mire Triton,2,Creature — Zombie Merfolk,B,Black,"Deathtouch\nWhen this creature enters, mill two cards and you gain 2 life. (To mill a card, put the top card of your library into your graveyard.)",,,2,1
Putrid Goblin,2,Creature — Zombie Goblin,B,Black,"Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)",,,2,2
Crypt Rats,3,Creature — Rat,B,Black,{X}: This creature deals X damage to each creature and each player. Spend only black mana on X.,,,1,1
Phyrexian Rager,3,Creature — Phyrexian Horror,B,Black,"When this creature enters, you draw a card and you lose 1 life.",,,2,2
Voracious Vermin,3,Creature — Rat,B,Black,"When this creature enters, create a 1/1 black Rat creature token with ""This token can't block.""\nWhenever another creature you control dies, put a +1/+1 counter on this creature.",,,2,1
Bone Picker,4,Creature — Bird,B,Black,"This spell costs {3} less to cast if a creature died this turn.\nFlying, deathtouch",,,3,2
Faceless Butcher,4,Creature — Nightmare Horror,B,Black,"When this creature enters, exile another target creature.\nWhen this creature leaves the battlefield, return the exiled card to the battlefield under its owner's control.",,,2,3
Falkenrath Noble,4,Creature — Vampire Noble,B,Black,"Flying\nWhenever this creature or another creature dies, target player loses 1 life and you gain 1 life.",,,2,2
Gravedigger,4,Creature — Zombie,B,Black,"When this creature enters, you may return target creature card from your graveyard to your hand.",,,2,2
Scurrilous Sentry,4,Creature — Human Knight Rogue,B,Black,"Menace\nWhenever this creature enters or attacks, it connives. (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on this creature.)",,,2,3
Thorn of the Black Rose,4,Creature — Human Assassin,B,Black,"Deathtouch\nWhen this creature enters, you become the monarch.",,,1,3
Gray Merchant of Asphodel,5,Creature — Zombie,B,Black,"When this creature enters, each opponent loses X life, where X is your devotion to black. You gain life equal to the life lost this way. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)",,,2,4
Loathsome Curator,5,Creature — Gorgon Wizard,B,Black,"Exploit (When this creature enters, you may sacrifice a creature.)\nMenace\nWhen this creature exploits a creature, destroy target creature you don't control with mana value 3 or less.",,,5,4
Okiba-Gang Shinobi,5,Creature — Rat Ninja,B,Black,"Ninjutsu {3}{B} ({3}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)\nWhenever this creature deals combat damage to a player, that player discards two cards.",,,3,2
Vampire Sovereign,5,Creature — Vampire Noble,B,Black,"Flying\nWhen this creature enters, target opponent loses 3 life and you gain 3 life.",,,3,4
Chitin Gravestalker,6,Creature — Insect Warrior,B,Black,"This spell costs {1} less to cast for each artifact and/or creature card in your graveyard.\nCycling {2} ({2}, Discard this card: Draw a card.)",,,5,4
First-Sphere Gargantua,6,Creature — Phyrexian Horror,B,Black,"When this creature enters, you draw a card and you lose 1 life.\nUnearth {2}{B} ({2}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",,,5,4
