Name,Set,Collector Number,Rarity,Color Identity,Type,Mana Cost,CMC,Power,Toughness,Tags
Mystic Sanctuary,Mixed,,common,,Land — Island,,0,,,Blue Flying
Shipwreck Dowser,Mixed,,common,U,Creature — Merfolk Wizard,,5,3.0,3.0,Blue Wizards
Archaeomancer,Mixed,,common,U,Creature — Human Wizard,,4,1.0,2.0,Blue Wizards
Murmuring Mystic,Mixed,,common,U,Creature — Human Wizard,,4,1.0,5.0,Blue Wizards
Tolarian Terror,Mixed,,common,U,Creature — Serpent,,7,5.0,5.0,Blue Wizards
Dimir Aqueduct,Mixed,,common,,Land,,0,,,Blue Wizards
Jhessian Thief,Mixed,,common,U,Creature — Human Rogue,,3,1.0,3.0,Blue Wizards
Counterspell,Mixed,,common,U,Instant,,2,,,Blue Wizards
Remove Soul,Mixed,,common,U,Instant,,2,,,Blue Wizards
Quick Study,Mixed,,common,U,Instant,,3,,,Blue Wizards
Treasure Cruise,Mixed,,common,U,Sorcery,,8,,,Blue Wizards
Striped Riverwinder,Mixed,,common,U,Creature — Serpent,,7,5.0,5.0,Blue Wizards
Lose Focus,Mixed,,common,U,Instant,,2,,,Blue Wizards
Compulsive Research,Mixed,,common,U,Sorcery,,3,,,Blue Wizards
Preordain,Mixed,,common,U,Sorcery,,1,,,Blue Card Draw
Lórien Revealed,Mixed,,common,U,Sorcery,,5,,,Blue Card Draw
Opt,Mixed,,common,U,Instant,,1,,,Blue Card Draw
Behold the Multiverse,Mixed,,common,U,Instant,,4,,,Blue Card Draw
Looter il-Kor,Mixed,,common,U,Creature — Kor Rogue,,2,1.0,1.0,Blue Card Draw
Merfolk Looter,Mixed,,common,U,Creature — Merfolk Rogue,,2,1.0,1.0,Blue Card Draw
Impulse,Mixed,,common,U,Instant,,2,,,Blue Card Draw
Consider,Mixed,,common,U,Instant,,1,,,Blue Card Draw
Ponder,Mixed,,common,U,Sorcery,,1,,,Blue Card Draw
Into the Roil,Mixed,,common,U,Instant,,2,,,Blue Card Draw
Serum Visions,Mixed,,common,U,Sorcery,,1,,,Blue Card Draw
Gitaxian Probe,Mixed,,common,U,Sorcery,,1,,,Blue Card Draw
Dismal Backwater,Mixed,,common,,Land,,0,,,Blue Card Draw
Faerie Seer,Mixed,,common,U,Creature — Faerie Wizard,,1,1.0,1.0,Blue Tempo
Moon-Circuit Hacker,Mixed,,common,U,Enchantment Creature — Human Ninja,,2,2.0,1.0,Blue Tempo
Zephyr Winder,Mixed,,common,U,Creature — Elemental,,2,2.0,1.0,Blue Tempo
Izzet Boilerworks,Mixed,,common,,Land,,0,,,Blue Tempo
Mistral Singer,Mixed,,common,U,Creature — Siren,,3,2.0,2.0,Blue Tempo
Pestermite,Mixed,,common,U,Creature — Faerie Rogue,,3,2.0,1.0,Blue Tempo
Man-o'-War,Mixed,,common,U,Creature — Jellyfish,,3,2.0,2.0,Blue Tempo
Warden of Evos Isle,Mixed,,common,U,Creature — Bird Wizard,,3,2.0,2.0,Blue Tempo
Winter Eladrin,Mixed,,common,U,Creature — Faerie Elf Wizard,,3,2.0,2.0,Blue Tempo
Snap,Mixed,,common,U,Instant,,2,,,Blue Tempo
Displace,Mixed,,common,U,Instant,,3,,,Blue Tempo
Ghostly Flicker,Mixed,,common,U,Instant,,3,,,Blue Tempo
Eldrazi Skyspawner,Mixed,,common,U,Creature — Eldrazi Drone,,3,2.0,1.0,Blue Tempo
Legion Vanguard,Mixed,,common,B,Creature — Vampire Soldier,,2,2.0,2.0,Black Zombies
Gixian Infiltrator,Mixed,,common,B,Creature — Phyrexian Human,,2,2.0,1.0,Black Zombies
Putrid Goblin,Mixed,,common,B,Creature — Zombie Goblin,,2,2.0,2.0,Black Zombies
Voracious Vermin,Mixed,,common,B,Creature — Rat,,3,2.0,1.0,Black Zombies
Gravedigger,Mixed,,common,B,Creature — Zombie,,4,2.0,2.0,Black Zombies
Falkenrath Noble,Mixed,,common,B,Creature — Vampire Noble,,4,2.0,2.0,Black Zombies
Pestilence,Mixed,,common,B,Enchantment,,4,,,Black Zombies
Crypt Rats,Mixed,,common,B,Creature — Rat,,3,1.0,1.0,Black Zombies
Phyrexian Rager,Mixed,,common,B,Creature — Phyrexian Horror,,3,2.0,2.0,Black Zombies
Ashes to Ashes,Mixed,,common,B,Sorcery,,3,,,Black Zombies
Bone Picker,Mixed,,common,B,Creature — Bird,,4,3.0,2.0,Black Zombies
Arms of Hadar,Mixed,,common,B,Sorcery,,4,,,Black Zombies
Witch's Cottage,Mixed,,common,,Land — Swamp,,0,,,Black Zombies
Grim Bauble,Mixed,,common,B,Artifact,,1,,,Black Graveyard
First-Sphere Gargantua,Mixed,,common,B,Creature — Phyrexian Horror,,6,5.0,4.0,Black Graveyard
Blood Fountain,Mixed,,common,B,Artifact,,1,,,Black Graveyard
Dread Return,Mixed,,common,B,Sorcery,,4,,,Black Graveyard
Unwilling Ingredient,Mixed,,common,B,Creature — Frog,,1,1.0,1.0,Black Graveyard
Feign Death,Mixed,,common,B,Instant,,1,,,Black Graveyard
Undying Malice,Mixed,,common,B,Instant,,1,,,Black Graveyard
Nezumi Linkbreaker,Mixed,,common,B,Creature — Rat Warlock,,1,1.0,1.0,Black Graveyard
Retrofitted Transmogrant,Mixed,,common,B,Artifact Creature — Zombie,,1,1.0,1.0,Black Graveyard
Okiba-Gang Shinobi,Mixed,,common,B,Creature — Rat Ninja,,5,3.0,2.0,Black Graveyard
Tortured Existence,Mixed,,common,B,Enchantment,,1,,,Black Graveyard
Ecstatic Awakener,Mixed,,common,B,Creature — Human Wizard,,1,1.0,1.0,Black Graveyard
Jagged Barrens,Mixed,,common,,Land — Desert,,0,,,Black Graveyard
Candy Grapple,Mixed,,common,B,Instant,,2,,,Black Sacrifice
Aether Poisoner,Mixed,,common,B,Creature — Human Artificer,,2,1.0,1.0,Black Sacrifice
Doom Blade,Mixed,,common,B,Instant,,2,,,Black Sacrifice
Carrier Thrall,Mixed,,common,B,Creature — Vampire,,2,2.0,1.0,Black Sacrifice
Rakdos Carnarium,Mixed,,common,,Land,,0,,,Black Sacrifice
Scurrilous Sentry,Mixed,,common,B,Creature — Human Knight Rogue,,4,2.0,3.0,Black Sacrifice
Thorn of the Black Rose,Mixed,,common,B,Creature — Human Assassin,,4,1.0,3.0,Black Sacrifice
Go for the Throat,Mixed,,common,B,Instant,,2,,,Black Sacrifice
Cast Down,Mixed,,common,B,Instant,,2,,,Black Sacrifice
Death Denied,Mixed,,common,B,Instant — Arcane,,2,,,Black Sacrifice
Guildsworn Prowler,Mixed,,common,B,Creature — Tiefling Rogue Assassin,,2,2.0,1.0,Black Sacrifice
Vault Skirge,Mixed,,common,B,Artifact Creature — Phyrexian Imp,,2,1.0,1.0,Black Sacrifice
Night's Whisper,Mixed,,common,B,Sorcery,,2,,,Black Sacrifice
Faceless Butcher,Mixed,,common,B,Creature — Nightmare Horror,,4,2.0,3.0,Black Control
Loathsome Curator,Mixed,,common,B,Creature — Gorgon Wizard,,5,5.0,4.0,Black Control
Wither and Bloom,Mixed,,common,B,Instant,,2,,,Black Control
Unearth,Mixed,,common,B,Sorcery,,1,,,Black Control
Vendetta,Mixed,,common,B,Instant,,1,,,Black Control
Plagued Rusalka,Mixed,,common,B,Creature — Spirit,,1,1.0,1.0,Black Control
Disfigure,Mixed,,common,B,Instant,,1,,,Black Control
Tragic Slip,Mixed,,common,B,Instant,,1,,,Black Control
Scoured Barrens,Mixed,,common,,Land,,0,,,Black Control
Village Rites,Mixed,,common,B,Instant,,1,,,Black Control
Chitin Gravestalker,Mixed,,common,B,Creature — Insect Warrior,,6,5.0,4.0,Black Control
Gray Merchant of Asphodel,Mixed,,common,B,Creature — Zombie,,5,2.0,4.0,Black Control
Vampire Sovereign,Mixed,,common,B,Creature — Vampire Noble,,5,3.0,4.0,Black Control
Mogg War Marshal,Mixed,,common,R,Creature — Goblin Warrior,,2,1.0,1.0,Red Goblins
Goblin Bushwhacker,Mixed,,common,R,Creature — Goblin Warrior,,1,1.0,1.0,Red Goblins
Goblin Surprise,Mixed,,common,R,Instant,,3,,,Red Goblins
Fanatical Firebrand,Mixed,,common,R,Creature — Goblin Pirate,,1,1.0,1.0,Red Goblins
Beetleback Chief,Mixed,,common,R,Creature — Goblin Warrior,,4,2.0,2.0,Red Goblins
Ardent Elementalist,Mixed,,common,R,Creature — Human Shaman,,4,2.0,1.0,Red Goblins
Thriving Skyclaw,Mixed,,common,R,Creature — Cat Dragon,,4,3.0,2.0,Red Goblins
Fireblast,Mixed,,common,R,Instant,,6,,,Red Goblins
Teetering Peaks,Mixed,,common,,Land,,0,,,Red Goblins
Oliphaunt,Mixed,,common,R,Creature — Elephant,,6,6.0,4.0,Red Goblins
Wildfire Elemental,Mixed,,common,R,Creature — Elemental,,4,3.0,3.0,Red Goblins
Frenzied Goblin,Mixed,,common,R,Creature — Goblin Berserker,,1,1.0,1.0,Red Goblins
Galvanic Discharge,Mixed,,common,R,Instant,,1,,,Red Goblins
Lightning Bolt,Mixed,,common,R,Instant,,1,,,Red Burn
Burst Lightning,Mixed,,common,R,Instant,,1,,,Red Burn
Chain Lightning,Mixed,,common,R,Sorcery,,1,,,Red Burn
Firebolt,Mixed,,common,R,Sorcery,,1,,,Red Burn
Guttersnipe,Mixed,,common,R,Creature — Goblin Shaman,,3,2.0,2.0,Red Burn
Spelleater Wolverine,Mixed,,common,R,Creature — Wolverine,,3,3.0,2.0,Red Burn
Bristling Backwoods,Mixed,,common,,Land — Desert,,0,,,Red Burn
Lightning Strike,Mixed,,common,R,Instant,,2,,,Red Burn
Fireball,Mixed,,common,R,Sorcery,,1,,,Red Burn
Flame Slash,Mixed,,common,R,Sorcery,,1,,,Red Burn
Abrade,Mixed,,common,R,Instant,,2,,,Red Burn
Improvised Club,Mixed,,common,R,Instant,,2,,,Red Burn
Incinerate,Mixed,,common,R,Instant,,2,,,Red Burn
Barbed Batterfist,Mixed,,common,R,Artifact — Equipment,,2,,,Red Artifacts
Bonesplitter,Mixed,,common,,Artifact — Equipment,,1,,,Red Artifacts
Aether Chaser,Mixed,,common,R,Creature — Human Artificer,,2,2.0,1.0,Red Artifacts
Iron Apprentice,Mixed,,common,,Artifact Creature — Construct,,1,0.0,0.0,Red Artifacts
Gruul Turf,Mixed,,common,,Land,,0,,,Red Artifacts
Orcish Hellraiser,Mixed,,common,R,Creature — Orc Warrior,,2,3.0,2.0,Red Artifacts
Thriving Grubs,Mixed,,common,R,Creature — Gremlin,,2,2.0,1.0,Red Artifacts
Yavimaya Steelcrusher,Mixed,,common,R,Creature — Ape Warrior,,2,2.0,2.0,Red Artifacts
Witty Roastmaster,Mixed,,common,R,Creature — Devil Citizen,,3,3.0,2.0,Red Artifacts
Grim Initiate,Mixed,,common,R,Creature — Zombie Warrior,,1,1.0,1.0,Red Artifacts
Ambitious Assault,Mixed,,common,R,Instant,,3,,,Red Artifacts
Goblin Motivator,Mixed,,common,R,Creature — Goblin Warrior,,1,1.0,1.0,Red Artifacts
Harried Spearguard,Mixed,,common,R,Creature — Human Soldier,,1,1.0,1.0,Red Artifacts
Wrangle,Mixed,,common,R,Sorcery,,2,,,Red Stompy
Juggernaut,Mixed,,common,,Artifact Creature — Juggernaut,,4,5.0,3.0,Red Stompy
Hobblefiend,Mixed,,common,R,Creature — Devil,,2,2.0,1.0,Red Stompy
Bogardan Dragonheart,Mixed,,common,R,Creature — Human Shaman,,3,2.0,2.0,Red Stompy
Clockwork Percussionist,Mixed,,common,R,Artifact Creature — Monkey Toy,,1,1.0,1.0,Red Stompy
Prismari Campus,Mixed,,common,,Land,,0,,,Red Stompy
Volatile Wanderglyph,Mixed,,common,R,Artifact Creature — Golem,,2,2.0,2.0,Red Stompy
Raid Bombardment,Mixed,,common,R,Enchantment,,3,,,Red Stompy
Gnawing Crescendo,Mixed,,common,R,Instant,,3,,,Red Stompy
Sulfurous Blast,Mixed,,common,R,Instant,,4,,,Red Stompy
Forbidden Friendship,Mixed,,common,R,Sorcery,,2,,,Red Stompy
Rally at the Hornburg,Mixed,,common,R,Sorcery,,2,,,Red Stompy
Hordeling Outburst,Mixed,,common,R,Sorcery,,3,,,Red Stompy
Longstalk Brawl,Mixed,,common,G,Sorcery,,1,,,Green Elves
Experiment One,Mixed,,common,G,Creature — Human Ooze,,1,1.0,1.0,Green Elves
Nyxborn Hydra,Mixed,,common,G,Enchantment Creature — Hydra,,1,0.0,1.0,Green Elves
Basking Broodscale,Mixed,,common,G,Creature — Eldrazi Lizard,,2,2.0,2.0,Green Elves
Llanowar Visionary,Mixed,,common,G,Creature — Elf Druid,,3,2.0,2.0,Green Elves
Jade Guardian,Mixed,,common,G,Creature — Merfolk Shaman,,4,2.0,2.0,Green Elves
Evolution Witness,Mixed,,common,G,Creature — Elf Shaman Mutant,,3,2.0,1.0,Green Elves
Haunted Mire,Mixed,,common,,Land — Swamp Forest,,0,,,Green Elves
Blastoderm,Mixed,,common,G,Creature — Beast,,4,5.0,5.0,Green Elves
Bloom Hulk,Mixed,,common,G,Creature — Plant Elemental,,4,4.0,4.0,Green Elves
Trumpeting Herd,Mixed,,common,G,Sorcery,,4,,,Green Elves
Eldrazi Repurposer,Mixed,,common,G,Creature — Eldrazi Drone,,3,3.0,3.0,Green Elves
Pulse of Murasa,Mixed,,common,G,Instant,,3,,,Green Elves
Colossal Dreadmask,Mixed,,common,G,Artifact — Equipment,,6,,,Green Ramp
Tranquil Landscape,Mixed,,common,,Land,,0,,,Green Ramp
Arbor Elf,Mixed,,common,G,Creature — Elf Druid,,1,1.0,1.0,Green Ramp
Sakura-Tribe Elder,Mixed,,common,G,Creature — Snake Shaman,,2,1.0,1.0,Green Ramp
Elvish Mystic,Mixed,,common,G,Creature — Elf Druid,,1,1.0,1.0,Green Ramp
Llanowar Elves,Mixed,,common,G,Creature — Elf Druid,,1,1.0,1.0,Green Ramp
Yavimaya Elder,Mixed,,common,G,Creature — Human Druid,,3,2.0,1.0,Green Ramp
Utopia Sprawl,Mixed,,common,G,Enchantment — Aura,,1,,,Green Ramp
Wild Growth,Mixed,,common,G,Enchantment — Aura,,1,,,Green Ramp
Jade Avenger,Mixed,,common,G,Creature — Frog Samurai,,2,2.0,2.0,Green Ramp
Mother Bear,Mixed,,common,G,Creature — Bear,,2,2.0,2.0,Green Ramp
Nest Invader,Mixed,,common,G,Creature — Eldrazi Drone,,2,2.0,2.0,Green Ramp
Wall of Roots,Mixed,,common,G,Creature — Plant Wall,,2,0.0,5.0,Green Ramp
Bannerhide Krushok,Mixed,,common,G,Creature — Beast,,4,4.0,4.0,Green Stompy
Ram Through,Mixed,,common,G,Instant,,2,,,Green Stompy
Rancor,Mixed,,common,G,Enchantment — Aura,,1,,,Green Stompy
Witherbloom Campus,Mixed,,common,,Land,,0,,,Green Stompy
Tuskguard Captain,Mixed,,common,G,Creature — Human Warrior,,3,2.0,3.0,Green Stompy
Giant Growth,Mixed,,common,G,Instant,,1,,,Green Stompy
Massive Might,Mixed,,common,G,Instant,,1,,,Green Stompy
Horrific Assault,Mixed,,common,G,Sorcery,,1,,,Green Stompy
Fertile Ground,Mixed,,common,G,Enchantment — Aura,,2,,,Green Stompy
Mutagenic Growth,Mixed,,common,G,Instant,,1,,,Green Stompy
Werebear,Mixed,,common,G,Creature — Human Bear Druid,,2,1.0,1.0,Green Stompy
Farseek,Mixed,,common,G,Sorcery,,2,,,Green Stompy
Nature's Lore,Mixed,,common,G,Sorcery,,2,,,Green Stompy
Contagious Vorrac,Mixed,,common,G,Creature — Phyrexian Boar Beast,,3,3.0,3.0,Green Beasts
Bushwhack,Mixed,,common,G,Sorcery,,1,,,Green Beasts
Gnarlid Colony,Mixed,,common,G,Creature — Beast,,2,2.0,2.0,Green Beasts
Generous Ent,Mixed,,common,G,Creature — Treefolk,,6,5.0,7.0,Green Beasts
Vines of Vastwood,Mixed,,common,G,Instant,,1,,,Green Beasts
Tamiyo's Safekeeping,Mixed,,common,G,Instant,,1,,,Green Beasts
Snakeskin Veil,Mixed,,common,G,Instant,,1,,,Green Beasts
Abundant Harvest,Mixed,,common,G,Sorcery,,1,,,Green Beasts
Malevolent Rumble,Mixed,,common,G,Sorcery,,2,,,Green Beasts
Monstrous Emergence,Mixed,,common,G,Sorcery,,2,,,Green Beasts
Sarulf's Packmate,Mixed,,common,G,Creature — Wolf,,4,3.0,3.0,Green Beasts
Grapple with the Past,Mixed,,common,G,Instant,,2,,,Green Beasts
Simic Growth Chamber,Mixed,,common,,Land,,0,,,Green Beasts
Combat Professor,Mixed,,common,W,Creature — Bird Cleric,,4,2.0,3.0,Azorius Control
Miscalculation,Mixed,,common,U,Instant,,2,,,Azorius Control
Condescend,Mixed,,common,U,Instant,,1,,,Azorius Control
Holy Cow,Mixed,,common,W,Creature — Ox Angel,,3,2.0,2.0,Azorius Control
Skybridge Towers,Mixed,,common,,Land,,0,,,Azorius Control
Judge's Familiar,Mixed,,common,UW,Creature — Bird,,1,1.0,1.0,Azorius Control
Mulldrifter,Mixed,,common,U,Creature — Elemental,,5,2.0,2.0,Azorius Control
Settle Beyond Reality,Mixed,,common,W,Sorcery,,5,,,Azorius Control
Peregrine Drake,Mixed,,common,U,Creature — Drake,,5,2.0,3.0,Azorius Control
Young Blue Dragon,Mixed,,common,U,Creature — Dragon,,5,3.0,3.0,Azorius Control
Imperial Oath,Mixed,,common,W,Sorcery,,6,,,Azorius Control
Lyev Skyknight,Mixed,,common,UW,Creature — Human Knight,,3,3.0,1.0,Azorius Control
Search Party Captain,Mixed,,common,W,Creature — Human Soldier,,4,2.0,2.0,Azorius Control
Deranged Assistant,Mixed,,common,U,Creature — Human Wizard,,2,1.0,1.0,Dimir Mill
Mire Triton,Mixed,,common,B,Creature — Zombie Merfolk,,2,2.0,1.0,Dimir Mill
Deep Analysis,Mixed,,common,U,Sorcery,,4,,,Dimir Mill
Cruel Witness,Mixed,,common,U,Creature — Bird Horror,,4,3.0,3.0,Dimir Mill
Waterfront District,Mixed,,common,,Land,,0,,,Dimir Mill
Hard Evidence,Mixed,,common,U,Sorcery,,1,,,Dimir Mill
Troll of Khazad-dûm,Mixed,,common,B,Creature — Troll,,6,6.0,5.0,Dimir Mill
Gurmag Angler,Mixed,,common,B,Creature — Zombie Fish,,7,5.0,5.0,Dimir Mill
Vizier of Tumbling Sands,Mixed,,common,U,Creature — Human Cleric,,3,1.0,3.0,Dimir Mill
Soul Manipulation,Mixed,,common,BU,Instant,,3,,,Dimir Mill
Aethersnipe,Mixed,,common,U,Creature — Elemental,,6,4.0,4.0,Dimir Mill
Sword Coast Serpent,Mixed,,common,U,Creature — Serpent Dragon,,7,6.0,6.0,Dimir Mill
Dinrova Horror,Mixed,,common,BU,Creature — Horror,,6,4.0,4.0,Dimir Mill
Mayhem Patrol,Mixed,,common,R,Creature — Devil Warrior,,2,1.0,2.0,Rakdos Aggro
Rift Bolt,Mixed,,common,R,Sorcery,,3,,,Rakdos Aggro
Scrapwork Mutt,Mixed,,common,R,Artifact Creature — Dog,,2,2.0,1.0,Rakdos Aggro
Shardless Outlander,Mixed,,common,,Artifact Creature — Construct Scout,,7,6.0,5.0,Rakdos Aggro
Wayfarer's Bauble,Mixed,,common,,Artifact,,1,,,Rakdos Aggro
Body Dropper,Mixed,,common,BR,Creature — Devil Warrior,,2,2.0,2.0,Rakdos Aggro
Cindering Cutthroat,Mixed,,common,BR,Creature — Lizard Assassin,,3,3.0,2.0,Rakdos Aggro
Renegade Freighter,Mixed,,common,,Artifact — Vehicle,,3,4.0,3.0,Rakdos Aggro
Candy Trail,Mixed,,common,,Artifact — Food Clue,,1,,,Rakdos Aggro
Fireblade Artist,Mixed,,common,BR,Creature — Human Shaman,,2,2.0,2.0,Rakdos Aggro
Serrated Arrows,Mixed,,common,,Artifact,,4,,,Rakdos Aggro
Filigree Familiar,Mixed,,common,,Artifact Creature — Fox,,3,2.0,2.0,Rakdos Aggro
Tramway Station,Mixed,,common,,Land,,0,,,Rakdos Aggro
Molten Gatekeeper,Mixed,,common,R,Artifact Creature — Golem,,3,2.0,3.0,Gruul Midrange
Scholar of Combustion,Mixed,,common,R,Creature — Human Wizard,,4,3.0,2.0,Gruul Midrange
Annoyed Altisaur,Mixed,,common,G,Creature — Dinosaur,,7,6.0,5.0,Gruul Midrange
Writhing Chrysalis,Mixed,,common,GR,Creature — Eldrazi Drone,,4,2.0,3.0,Gruul Midrange
Goblin Anarchomancer,Mixed,,common,GR,Creature — Goblin Shaman,,2,2.0,2.0,Gruul Midrange
Guardian Idol,Mixed,,common,,Artifact,,2,,,Gruul Midrange
Perilous Myr,Mixed,,common,,Artifact Creature — Phyrexian Myr,,2,1.0,1.0,Gruul Midrange
Branching Bolt,Mixed,,common,GR,Instant,,3,,,Gruul Midrange
Bonder's Ornament,Mixed,,common,,Artifact,,3,,,Gruul Midrange
Mind Stone,Mixed,,common,,Artifact,,2,,,Gruul Midrange
Burning-Tree Emissary,Mixed,,common,GR,Creature — Human Shaman,,2,2.0,2.0,Gruul Midrange
Racers' Ring,Mixed,,common,,Land,,0,,,Gruul Midrange
Ulamog's Crusher,Mixed,,common,,Creature — Eldrazi,,8,8.0,8.0,Gruul Midrange
Thraben Charm,Mixed,,common,W,Instant,,2,,,Selesnya Value
Voracious Varmint,Mixed,,common,G,Creature — Varmint,,2,2.0,2.0,Selesnya Value
Jewel Thief,Mixed,,common,G,Creature — Cat Rogue,,3,3.0,3.0,Selesnya Value
Botanical Plaza,Mixed,,common,,Land,,0,,,Selesnya Value
Treetop Snarespinner,Mixed,,common,G,Creature — Spider,,4,1.0,4.0,Selesnya Value
Journey to Nowhere,Mixed,,common,W,Enchantment,,2,,,Selesnya Value
Captured by Lagacs,Mixed,,common,GW,Enchantment — Aura,,3,,,Selesnya Value
Raffine's Informant,Mixed,,common,W,Creature — Human Wizard,,2,2.0,1.0,Selesnya Value
Stormfront Pegasus,Mixed,,common,W,Creature — Pegasus,,2,2.0,1.0,Selesnya Value
Heliod's Pilgrim,Mixed,,common,W,Creature — Human Cleric,,3,1.0,2.0,Selesnya Value
